amino_acid	enzyme
ala__L_c	JYG34_18500-MONOMER
arg__L_c	JYG34_01480-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	JYG34_19530-MONOMER
cys__L_c	JYG34_10170-MONOMER
gln__L_c	JYG34_10165-MONOMER
glu__L_c	JYG34_07810-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	JYG34_04805-MONOMER
ile__L_c	JYG34_22195-MONOMER
leu__L_c	generic_leu_ligase
lys__L_c	JYG34_05865-MONOMER
met__L_c	JYG34_05695-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	JYG34_19570-MONOMER
ser__L_c	JYG34_10650-MONOMER
thr__L_c	JYG34_09605-MONOMER
trp__L_c	JYG34_21440-MONOMER
tyr__L_c	JYG34_02145-MONOMER
val__L_c	JYG34_21115-MONOMER
