complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,JYG34_00070(2) AND JYG34_00075(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,JYG34_09630(2) AND JYG34_09625(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,JYG34_22910(2) AND JYG34_08115(2) AND JYG34_19960(2) AND JYG34_22915(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),JYG34_24705() AND JYG34_20825() AND JYG34_05115() AND JYG34_20820(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,JYG34_22275(2) AND JYG34_22280(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,JYG34_07715() AND JYG34_17280(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),JYG34_07715() AND JYG34_07700(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,JYG34_21470(4) AND JYG34_21475(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,JYG34_25925() AND JYG34_25930(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),JYG34_02425() AND JYG34_23065(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),JYG34_04955() AND JYG34_04950() AND JYG34_04945() AND JYG34_04940() AND JYG34_04935(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),JYG34_04935(1) AND JYG34_04940(1) AND JYG34_04945(1) AND JYG34_04950(1) AND JYG34_04970(1),,
CPLX_ANS-0,Anthranilate synthase,JYG34_02050() AND JYG34_02060(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,JYG34_09270() AND JYG34_25165(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),JYG34_18550() AND JYG34_18555() AND JYG34_18560() AND JYG34_18565(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),JYG34_05565() AND JYG34_05560() AND JYG34_05555() AND JYG34_05550(),,
CPLX_AST-0,Arginine succinyltransferase,JYG34_18530() AND JYG34_18535(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,JYG34_05200() AND JYG34_23300(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),JYG34_26160() AND JYG34_26180() AND JYG34_26145() AND JYG34_26150() AND JYG34_26175() AND JYG34_26170() AND JYG34_26155() AND JYG34_26165() AND JYG34_26185(),,
