sigma,complex,genes,name
H7683_01255-MONOMER,RNAP_H768301255MONOMER,H7683_01255(),RNA polymerase sigma factor RpoS
H7683_02870-MONOMER,RNAP_H768302870MONOMER,H7683_02870(),RNA polymerase sigma factor
H7683_06665-MONOMER,RNAP_H768306665MONOMER,H7683_06665(),RNA polymerase sigma factor RpoD
H7683_07425-MONOMER,RNAP_H768307425MONOMER,H7683_07425(),RNA polymerase sigma factor RpoH
H7683_10315-MONOMER,RNAP_H768310315MONOMER,H7683_10315(),sigma-70 family RNA polymerase sigma factor
H7683_10850-MONOMER,RNAP_H768310850MONOMER,H7683_10850(),FliA/WhiG family RNA polymerase sigma factor
H7683_11375-MONOMER,RNAP_H768311375MONOMER,H7683_11375(),RNA polymerase sigma factor
H7683_14770-MONOMER,RNAP_H768314770MONOMER,H7683_14770(),RNA polymerase factor sigma-54
H7683_15995-MONOMER,RNAP_H768315995MONOMER,H7683_15995(),sigma-70 family RNA polymerase sigma factor
H7683_17510-MONOMER,RNAP_H768317510MONOMER,H7683_17510(),RNA polymerase sigma factor RpoE
H7683_17515-MONOMER,RNAP_H768317515MONOMER,H7683_17515(),RNA polymerase subunit sigma
H7683_17595-MONOMER,RNAP_H768317595MONOMER,H7683_17595(),RNA polymerase sigma factor
H7683_17980-MONOMER,RNAP_H768317980MONOMER,H7683_17980(),RNA polymerase sigma factor
H7683_19000-MONOMER,RNAP_H768319000MONOMER,H7683_19000(),sigma-70 family RNA polymerase sigma factor
H7683_19040-MONOMER,RNAP_H768319040MONOMER,H7683_19040(),sigma-70 family RNA polymerase sigma factor
H7683_19070-MONOMER,RNAP_H768319070MONOMER,H7683_19070(),sigma-70 family RNA polymerase sigma factor
H7683_19420-MONOMER,RNAP_H768319420MONOMER,H7683_19420(),RNA polymerase sigma factor FliA
H7683_20195-MONOMER,RNAP_H768320195MONOMER,H7683_20195(),RNA polymerase sigma factor
H7683_21040-MONOMER,RNAP_H768321040MONOMER,H7683_21040(),sigma-70 family RNA polymerase sigma factor
H7683_21055-MONOMER,RNAP_H768321055MONOMER,H7683_21055(),sigma-70 family RNA polymerase sigma factor
H7683_21565-MONOMER,RNAP_H768321565MONOMER,H7683_21565(),RNA polymerase sigma factor SigX
H7683_23180-MONOMER,RNAP_H768323180MONOMER,H7683_23180(),sigma-70 family RNA polymerase sigma factor
