bnum	position	modification
FXF61_01660	1518	m62A
FXF61_01660	1519	m62A
FXF61_03670	1518	m62A
FXF61_03670	1519	m62A
FXF61_11980	1518	m62A
FXF61_11980	1519	m62A
FXF61_13540	1518	m62A
FXF61_13540	1519	m62A
FXF61_01660	967	m5C
FXF61_03670	967	m5C
FXF61_11980	967	m5C
FXF61_13540	967	m5C
FXF61_01660	966	m2G
FXF61_03670	966	m2G
FXF61_11980	966	m2G
FXF61_13540	966	m2G
FXF61_01660	1498	m3U
FXF61_03670	1498	m3U
FXF61_11980	1498	m3U
FXF61_13540	1498	m3U
FXF61_01660	527	m7G
FXF61_03670	527	m7G
FXF61_11980	527	m7G
FXF61_13540	527	m7G
FXF61_01660	1402	m4Cm
FXF61_03670	1402	m4Cm
FXF61_11980	1402	m4Cm
FXF61_13540	1402	m4Cm
FXF61_01660	516	Y
FXF61_03670	516	Y
FXF61_11980	516	Y
FXF61_13540	516	Y
FXF61_01675	2503	m2A
FXF61_03685	2503	m2A
FXF61_11965	2503	m2A
FXF61_13555	2503	m2A
FXF61_01675	2251	Gm
FXF61_03685	2251	Gm
FXF61_11965	2251	Gm
FXF61_13555	2251	Gm
FXF61_01675	1939	m5U
FXF61_03685	1939	m5U
FXF61_11965	1939	m5U
FXF61_13555	1939	m5U
FXF61_01675	745	m1G
FXF61_03685	745	m1G
FXF61_11965	745	m1G
FXF61_13555	745	m1G
FXF61_01675	1835	m2G
FXF61_03685	1835	m2G
FXF61_11965	1835	m2G
FXF61_13555	1835	m2G
FXF61_01675	1962	m5C
FXF61_03685	1962	m5C
FXF61_11965	1962	m5C
FXF61_13555	1962	m5C
FXF61_01675	1618	m6A
FXF61_03685	1618	m6A
FXF61_11965	1618	m6A
FXF61_13555	1618	m6A
FXF61_01675	2069	m7G
FXF61_03685	2069	m7G
FXF61_11965	2069	m7G
FXF61_13555	2069	m7G
FXF61_01675	2552	Um
FXF61_03685	2552	Um
FXF61_11965	2552	Um
FXF61_13555	2552	Um
FXF61_01675	1911	Y
FXF61_01675	1915	Y
FXF61_01675	1917	Y
FXF61_03685	1911	Y
FXF61_03685	1915	Y
FXF61_03685	1917	Y
FXF61_11965	1911	Y
FXF61_11965	1915	Y
FXF61_11965	1917	Y
FXF61_13555	1911	Y
FXF61_13555	1915	Y
FXF61_13555	1917	Y
