Reaction	Complexes
2AGPE140tipp	IE322_15250-MONOMER
2AGPE141tipp	IE322_15250-MONOMER
2AGPG140tipp	IE322_15250-MONOMER
2AGPG141tipp	IE322_15250-MONOMER
2DHGLCK	IE322_08415-MONOMER
2DHGLCNkt_tpp	IE322_08420-MONOMER
2MAHMP	IE322_05250-MONOMER
3AMACHYD	IE322_13070-MONOMER
3HAACOAT100	IE322_01385-MONOMER
3HAACOAT120	IE322_01385-MONOMER
3HAACOAT121	IE322_01385-MONOMER
3HAACOAT140	IE322_01385-MONOMER
3HAACOAT141	IE322_01385-MONOMER
3HAACOAT60	IE322_01385-MONOMER
3HAACOAT80	IE322_01385-MONOMER
3HAD100	IE322_15695-MONOMER
3HAD120	IE322_15695-MONOMER
3HAD121	IE322_15695-MONOMER
3HAD140	IE322_15695-MONOMER
3HAD141	IE322_15695-MONOMER
3HAD160	IE322_15695-MONOMER
3HAD161	IE322_15695-MONOMER
3HAD180	IE322_15695-MONOMER
3HAD181	IE322_15695-MONOMER
3HAD40	IE322_15695-MONOMER
3HAD60	IE322_15695-MONOMER
3HAD80	IE322_15695-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	IE322_14285-MONOMER
3OAR120	IE322_14285-MONOMER
3OAR121	IE322_14285-MONOMER
3OAR140	IE322_14285-MONOMER
3OAR141	IE322_14285-MONOMER
3OAR160	IE322_14285-MONOMER
3OAR161	IE322_14285-MONOMER
3OAR180	IE322_14285-MONOMER
3OAR181	IE322_14285-MONOMER
3OAR40	IE322_14285-MONOMER
3OAR60	IE322_14285-MONOMER
3OAR80	IE322_14285-MONOMER
3OAS100	IE322_14275-MONOMER OR IE322_04515-MONOMER
3OAS120	IE322_14275-MONOMER OR IE322_04515-MONOMER
3OAS121	IE322_04515-MONOMER
3OAS140	IE322_14275-MONOMER OR IE322_04515-MONOMER
3OAS141	IE322_04515-MONOMER
3OAS160	IE322_14275-MONOMER OR IE322_04515-MONOMER
3OAS161	IE322_04515-MONOMER
3OAS180	IE322_04515-MONOMER
3OAS181	IE322_04515-MONOMER
3OAS60	IE322_14275-MONOMER OR IE322_04515-MONOMER
3OAS80	IE322_14275-MONOMER OR IE322_04515-MONOMER
3OXCOAT	IE322_01085-MONOMER
3OXOADPt_pp	IE322_01090-MONOMER
3PEPTabcpp	IE322_04665-MONOMER OR IE322_04660-MONOMER OR IE322_04655-MONOMER OR IE322_04650-MONOMER
3_4DHBZ1t_pp	IE322_01070-MONOMER
3_4DHBZt2	IE322_01110-MONOMER
4CMLCL_kt	IE322_01105-MONOMER OR IE322_16820-MONOMER
4HBHYOX	IE322_07545-MONOMER
4HBZtex	IE322_01120-MONOMER
4HTHRS	IE322_16080-MONOMER_mod_pydx5p(1)
4PEPTabcpp	IE322_04665-MONOMER OR IE322_04660-MONOMER OR IE322_04655-MONOMER OR IE322_04650-MONOMER
5HPUDICDC_c	IE322_04000-MONOMER
A5PISO	IE322_16675-MONOMER
AACPS1	IE322_14280-MONOMER_mod_pan4p(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_ac(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_mal(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_but2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_act(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_but(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ha(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_egme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_ogme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_gme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_hgme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_thex2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ohex(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_hex(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hhex(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_pim(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_epme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_opme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_pme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_hpme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_toct2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ooct(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_oc(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hoct(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_tdec2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_cdec3e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3odec(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_dca(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hdec(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_tddec2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_cddec5e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3oddec(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_ddca(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hddec(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_tde(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_tmrs2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3omrs(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_myrs(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hmrs(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_t3c9palme(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_hde(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_tpalm2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3opalm(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_palm(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hpalm(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_t3c11vace(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_toctd2e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_octe(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3ooctd(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_ocdca(1) OR IE322_14280-MONOMER_mod_pan4p(1)_mod_3hocta(1)
