complex_id,name,genes,mod,replace
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,HZ99_21120(2) AND HZ99_07530(2) AND HZ99_24225(2) AND HZ99_21115(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),HZ99_16160() AND HZ99_23750() AND HZ99_12420() AND HZ99_23755(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,HZ99_22420(2) AND HZ99_22415(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,HZ99_09130() AND HZ99_26320(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),HZ99_09130() AND HZ99_09145(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,HZ99_22925(4) AND HZ99_22920(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,HZ99_17175() AND HZ99_17180(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),HZ99_14295() AND HZ99_20985(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),HZ99_12650() AND HZ99_12655() AND HZ99_12660() AND HZ99_12665() AND HZ99_12670(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),HZ99_12635() AND HZ99_12655() AND HZ99_12660() AND HZ99_12665() AND HZ99_12670(),,
CPLX_ANS-0,Anthranilate synthase,HZ99_14660() AND HZ99_14645(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,HZ99_08695() AND HZ99_16545(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),HZ99_09930() AND HZ99_09940() AND HZ99_09945() AND HZ99_09950(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),HZ99_11405() AND HZ99_11410() AND HZ99_11415() AND HZ99_11420(),,
CPLX_AST-0,Arginine succinyltransferase,HZ99_09905() AND HZ99_09910(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,HZ99_12335() AND HZ99_20680(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),HZ99_17775() AND HZ99_17795() AND HZ99_17760() AND HZ99_17765() AND HZ99_17790() AND HZ99_17785() AND HZ99_17770() AND HZ99_17780() AND HZ99_17800(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,HZ99_06490(2) AND HZ99_06485(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),HZ99_16330(2) AND HZ99_16325(2) AND HZ99_16340(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),HZ99_15500() AND HZ99_15495() AND HZ99_15490(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,HZ99_24615() AND HZ99_24610() AND HZ99_24605(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,HZ99_12370() AND HZ99_12365() AND HZ99_12360(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,HZ99_11895() AND HZ99_04450(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),HZ99_18800(1) AND HZ99_18815(2) AND HZ99_18810(1) AND HZ99_18805(1),,
CPLX_CRO4abcpp-1,Chromate transport via ABC system (periplasm),HZ99_18815() AND HZ99_18805() AND HZ99_18810() AND HZ99_26110(),,
CPLX_CU1Opp-0,Cuprous Oxidase (Cu+1),HZ99_25440() AND HZ99_25445(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,HZ99_12560() AND HZ99_12555() AND HZ99_12550(),,
CPLX_DURAD-0,Dihydrouracil dehydrogenase (NADP),HZ99_06230(2) AND HZ99_06235(2),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,HZ99_13690(6) AND HZ99_13695(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),HZ99_20700() AND HZ99_20695() AND HZ99_11375(),,
CPLX_FE3abcpp-1,Iron (III) transport via ABC system (periplasm to cytoplasm),HZ99_16430() AND HZ99_16425() AND HZ99_11375(),,
CPLX_FE3DCITabcpp-0,Iron transport from ferric-dicitrate via ABC system (periplasm),HZ99_20995() AND HZ99_21005() AND HZ99_21000(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),HZ99_11115() AND HZ99_23025(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),HZ99_10290() AND HZ99_10285() AND HZ99_10280() AND HZ99_10275(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,HZ99_20205(4) AND HZ99_20200(4),,
CPLX_GLYBabcpp-0,Glycine betaine transport via ABC system (periplasm),HZ99_26190() AND HZ99_15500() AND HZ99_15495(),,
CPLX_HSERTA-0,Homoserine O trans acetylase,HZ99_15930() AND HZ99_15935(),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,HZ99_08440() AND HZ99_08435() AND HZ99_08445(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,HZ99_19740(1) AND HZ99_19725(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),HZ99_24480(1) AND HZ99_24470(1) AND HZ99_24475(1) AND HZ99_24460(1) AND HZ99_24465(1),,
CPLX_ILEabcpp-1,L-isoleucine transport via ABC system (periplasm),HZ99_20830() AND HZ99_20825() AND HZ99_20815() AND HZ99_20810() AND HZ99_20820(),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,HZ99_07570(1) AND HZ99_07575(1),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),HZ99_09140() AND HZ99_09125() AND HZ99_09135() AND HZ99_24200(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),HZ99_19645() AND HZ99_19650() AND HZ99_19655() AND HZ99_19660(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,HZ99_09130() AND HZ99_09140(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,HZ99_20390() AND HZ99_16545(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,HZ99_27510() AND HZ99_16545(),,
CPLX_METSOXR1-2,L-methionine-S-oxide reductase,HZ99_20390() AND HZ99_14185(),,
CPLX_METSOXR1-3,L-methionine-S-oxide reductase,HZ99_27510() AND HZ99_14185(),,
CPLX_MNabc_1-0,Manganese Mn2 transport via ABC system periplasm,HZ99_27780() AND HZ99_27770() AND HZ99_27775(),,
CPLX_MOBDabcpp-0,Molybdate transport via ABC system (periplasm),HZ99_02230(2) AND HZ99_02225(2) AND HZ99_02235(1),,
CPLX_MPTG-0,Murein polymerizing transglycosylase,HZ99_22400() AND HZ99_12115() AND HZ99_12965(),,
CPLX_MPTG-1,Murein polymerizing transglycosylase,HZ99_20155() AND HZ99_12115() AND HZ99_12965(),,
CPLX_MPTG-2,Murein polymerizing transglycosylase,HZ99_15980() AND HZ99_12115() AND HZ99_12965(),,
CPLX_NADH16pp-0,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),HZ99_05780(1) AND HZ99_05805() AND HZ99_05800() AND HZ99_05835() AND HZ99_05820() AND HZ99_05795() AND HZ99_05825() AND HZ99_05815() AND HZ99_05790() AND HZ99_05830() AND HZ99_05810() AND HZ99_05840() AND HZ99_05785(),,
CPLX_OCBT-0,Ornithine carbamoyltransferase,HZ99_11370() AND HZ99_10470(),,
CPLX_OIVD1r-0,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),HZ99_06310() AND HZ99_06315() AND HZ99_06320() AND HZ99_06325(),,
CPLX_OPHBDC-0,Octaprenyl-hydroxybenzoate decarboxylase,HZ99_16535() AND HZ99_13660(),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),HZ99_08695() AND HZ99_14185(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),HZ99_08695() AND HZ99_19785(),,
CPLX_PC-0,Pyruvate carboxylase,HZ99_17260() AND HZ99_17255(),,
