bnum	position	modification
HZ99_14560	1518	m62A
HZ99_14560	1519	m62A
HZ99_18400	1518	m62A
HZ99_18400	1519	m62A
HZ99_21405	1518	m62A
HZ99_21405	1519	m62A
HZ99_22445	1518	m62A
HZ99_22445	1519	m62A
HZ99_23420	1518	m62A
HZ99_23420	1519	m62A
HZ99_27870	1518	m62A
HZ99_27870	1519	m62A
HZ99_14560	967	m5C
HZ99_18400	967	m5C
HZ99_21405	967	m5C
HZ99_22445	967	m5C
HZ99_23420	967	m5C
HZ99_27870	967	m5C
HZ99_14560	966	m2G
HZ99_18400	966	m2G
HZ99_21405	966	m2G
HZ99_22445	966	m2G
HZ99_23420	966	m2G
HZ99_27870	966	m2G
HZ99_14560	1498	m3U
HZ99_18400	1498	m3U
HZ99_21405	1498	m3U
HZ99_22445	1498	m3U
HZ99_23420	1498	m3U
HZ99_27870	1498	m3U
HZ99_14560	527	m7G
HZ99_18400	527	m7G
HZ99_21405	527	m7G
HZ99_22445	527	m7G
HZ99_23420	527	m7G
HZ99_27870	527	m7G
HZ99_14560	1402	m4Cm
HZ99_18400	1402	m4Cm
HZ99_21405	1402	m4Cm
HZ99_22445	1402	m4Cm
HZ99_23420	1402	m4Cm
HZ99_27870	1402	m4Cm
HZ99_14560	516	Y
HZ99_18400	516	Y
HZ99_21405	516	Y
HZ99_22445	516	Y
HZ99_23420	516	Y
HZ99_27870	516	Y
HZ99_14545	2503	m2A
HZ99_18415	2503	m2A
HZ99_21420	2503	m2A
HZ99_22460	2503	m2A
HZ99_23435	2503	m2A
HZ99_27885	2503	m2A
HZ99_14545	2251	Gm
HZ99_18415	2251	Gm
HZ99_21420	2251	Gm
HZ99_22460	2251	Gm
HZ99_23435	2251	Gm
HZ99_27885	2251	Gm
HZ99_14545	1939	m5U
HZ99_18415	1939	m5U
HZ99_21420	1939	m5U
HZ99_22460	1939	m5U
HZ99_23435	1939	m5U
HZ99_27885	1939	m5U
HZ99_14545	2498	Cm
HZ99_18415	2498	Cm
HZ99_21420	2498	Cm
HZ99_22460	2498	Cm
HZ99_23435	2498	Cm
HZ99_27885	2498	Cm
HZ99_14545	745	m1G
HZ99_18415	745	m1G
HZ99_21420	745	m1G
HZ99_22460	745	m1G
HZ99_23435	745	m1G
HZ99_27885	745	m1G
HZ99_14545	1835	m2G
HZ99_18415	1835	m2G
HZ99_21420	1835	m2G
HZ99_22460	1835	m2G
HZ99_23435	1835	m2G
HZ99_27885	1835	m2G
HZ99_14545	1962	m5C
HZ99_18415	1962	m5C
HZ99_21420	1962	m5C
HZ99_22460	1962	m5C
HZ99_23435	1962	m5C
HZ99_27885	1962	m5C
HZ99_14545	1618	m6A
HZ99_18415	1618	m6A
HZ99_21420	1618	m6A
HZ99_22460	1618	m6A
HZ99_23435	1618	m6A
HZ99_27885	1618	m6A
HZ99_14545	2069	m7G
HZ99_18415	2069	m7G
HZ99_21420	2069	m7G
HZ99_22460	2069	m7G
HZ99_23435	2069	m7G
HZ99_27885	2069	m7G
HZ99_14545	2552	Um
HZ99_18415	2552	Um
HZ99_21420	2552	Um
HZ99_22460	2552	Um
HZ99_23435	2552	Um
HZ99_27885	2552	Um
HZ99_14545	1911	Y
HZ99_14545	1915	Y
HZ99_14545	1917	Y
HZ99_18415	1911	Y
HZ99_18415	1915	Y
HZ99_18415	1917	Y
HZ99_21420	1911	Y
HZ99_21420	1915	Y
HZ99_21420	1917	Y
HZ99_22460	1911	Y
HZ99_22460	1915	Y
HZ99_22460	1917	Y
HZ99_23435	1911	Y
HZ99_23435	1915	Y
HZ99_23435	1917	Y
HZ99_27885	1911	Y
HZ99_27885	1915	Y
HZ99_27885	1917	Y
