bnum	position	modification
HAV28_00580	1518	m62A
HAV28_00580	1519	m62A
HAV28_00595	1518	m62A
HAV28_00595	1519	m62A
HAV28_03170	1518	m62A
HAV28_03170	1519	m62A
HAV28_08770	1518	m62A
HAV28_08770	1519	m62A
HAV28_19640	1518	m62A
HAV28_19640	1519	m62A
HAV28_21625	1518	m62A
HAV28_21625	1519	m62A
HAV28_23030	1518	m62A
HAV28_23030	1519	m62A
HAV28_00580	967	m5C
HAV28_00595	967	m5C
HAV28_03170	967	m5C
HAV28_08770	967	m5C
HAV28_19640	967	m5C
HAV28_21625	967	m5C
HAV28_23030	967	m5C
HAV28_00580	966	m2G
HAV28_00595	966	m2G
HAV28_03170	966	m2G
HAV28_08770	966	m2G
HAV28_19640	966	m2G
HAV28_21625	966	m2G
HAV28_23030	966	m2G
HAV28_00580	1498	m3U
HAV28_00595	1498	m3U
HAV28_03170	1498	m3U
HAV28_08770	1498	m3U
HAV28_19640	1498	m3U
HAV28_21625	1498	m3U
HAV28_23030	1498	m3U
HAV28_00580	527	m7G
HAV28_00595	527	m7G
HAV28_03170	527	m7G
HAV28_08770	527	m7G
HAV28_19640	527	m7G
HAV28_21625	527	m7G
HAV28_23030	527	m7G
HAV28_00580	1402	m4Cm
HAV28_00595	1402	m4Cm
HAV28_03170	1402	m4Cm
HAV28_08770	1402	m4Cm
HAV28_19640	1402	m4Cm
HAV28_21625	1402	m4Cm
HAV28_23030	1402	m4Cm
HAV28_00580	516	Y
HAV28_00595	516	Y
HAV28_03170	516	Y
HAV28_08770	516	Y
HAV28_19640	516	Y
HAV28_21625	516	Y
HAV28_23030	516	Y
HAV28_00585	2503	m2A
HAV28_00610	2503	m2A
HAV28_03185	2503	m2A
HAV28_08775	2503	m2A
HAV28_19635	2503	m2A
HAV28_21620	2503	m2A
HAV28_23015	2503	m2A
HAV28_00585	2251	Gm
HAV28_00610	2251	Gm
HAV28_03185	2251	Gm
HAV28_08775	2251	Gm
HAV28_19635	2251	Gm
HAV28_21620	2251	Gm
HAV28_23015	2251	Gm
HAV28_00585	1939	m5U
HAV28_00610	1939	m5U
HAV28_03185	1939	m5U
HAV28_08775	1939	m5U
HAV28_19635	1939	m5U
HAV28_21620	1939	m5U
HAV28_23015	1939	m5U
HAV28_00585	2498	Cm
HAV28_00610	2498	Cm
HAV28_03185	2498	Cm
HAV28_08775	2498	Cm
HAV28_19635	2498	Cm
HAV28_21620	2498	Cm
HAV28_23015	2498	Cm
HAV28_00585	745	m1G
HAV28_00610	745	m1G
HAV28_03185	745	m1G
HAV28_08775	745	m1G
HAV28_19635	745	m1G
HAV28_21620	745	m1G
HAV28_23015	745	m1G
HAV28_00585	1835	m2G
HAV28_00610	1835	m2G
HAV28_03185	1835	m2G
HAV28_08775	1835	m2G
HAV28_19635	1835	m2G
HAV28_21620	1835	m2G
HAV28_23015	1835	m2G
HAV28_00585	1962	m5C
HAV28_00610	1962	m5C
HAV28_03185	1962	m5C
HAV28_08775	1962	m5C
HAV28_19635	1962	m5C
HAV28_21620	1962	m5C
HAV28_23015	1962	m5C
HAV28_00585	1618	m6A
HAV28_00610	1618	m6A
HAV28_03185	1618	m6A
HAV28_08775	1618	m6A
HAV28_19635	1618	m6A
HAV28_21620	1618	m6A
HAV28_23015	1618	m6A
HAV28_00585	2069	m7G
HAV28_00610	2069	m7G
HAV28_03185	2069	m7G
HAV28_08775	2069	m7G
HAV28_19635	2069	m7G
HAV28_21620	2069	m7G
HAV28_23015	2069	m7G
HAV28_00585	2552	Um
HAV28_00610	2552	Um
HAV28_03185	2552	Um
HAV28_08775	2552	Um
HAV28_19635	2552	Um
HAV28_21620	2552	Um
HAV28_23015	2552	Um
HAV28_00585	1911	Y
HAV28_00585	1915	Y
HAV28_00585	1917	Y
HAV28_00610	1911	Y
HAV28_00610	1915	Y
HAV28_00610	1917	Y
HAV28_03185	1911	Y
HAV28_03185	1915	Y
HAV28_03185	1917	Y
HAV28_08775	1911	Y
HAV28_08775	1915	Y
HAV28_08775	1917	Y
HAV28_19635	1911	Y
HAV28_19635	1915	Y
HAV28_19635	1917	Y
HAV28_21620	1911	Y
HAV28_21620	1915	Y
HAV28_21620	1917	Y
HAV28_23015	1911	Y
HAV28_23015	1915	Y
HAV28_23015	1917	Y
