complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,HAV28_00070(2) AND HAV28_00075(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,HAV28_14815(2) AND HAV28_14820(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,HAV28_02970(2) AND HAV28_18025(2) AND HAV28_06110(2) AND HAV28_02965(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,HAV28_21655(2) AND HAV28_21660(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,HAV28_18245() AND HAV28_08420(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),HAV28_18245() AND HAV28_18260(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,HAV28_21020(4) AND HAV28_21030(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,HAV28_25030() AND HAV28_25035(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),HAV28_22750() AND HAV28_02830(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),HAV28_04965() AND HAV28_04960() AND HAV28_04955() AND HAV28_04950() AND HAV28_04945(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),HAV28_04945(1) AND HAV28_04950(1) AND HAV28_04955(1) AND HAV28_04960(1) AND HAV28_04980(1),,
CPLX_ANS-0,Anthranilate synthase,HAV28_23125() AND HAV28_23115(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,HAV28_15940() AND HAV28_00795(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),HAV28_07245(1) AND HAV28_07240(1) AND HAV28_07250(1) AND HAV28_07255(2),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),HAV28_20010() AND HAV28_20015() AND HAV28_20020() AND HAV28_20025(),,
CPLX_AST-0,Arginine succinyltransferase,HAV28_07275() AND HAV28_07270(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,HAV28_05200() AND HAV28_02600(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),HAV28_25305() AND HAV28_25325() AND HAV28_25290() AND HAV28_25295() AND HAV28_25320() AND HAV28_25315() AND HAV28_25300() AND HAV28_25310() AND HAV28_25330(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,HAV28_11295(2) AND HAV28_11290(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),HAV28_24155(2) AND HAV28_24150(2) AND HAV28_24165(),,
CPLX_BZ12DOX-0,"Benzoate 1,2-dioxygenase",HAV28_11975() AND HAV28_11980() AND HAV28_11985(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),HAV28_23835() AND HAV28_23830() AND HAV28_13730(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,HAV28_20420() AND HAV28_20425() AND HAV28_20430(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,HAV28_05165() AND HAV28_05170() AND HAV28_05175(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,HAV28_21085() AND HAV28_06610(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),HAV28_01005(1) AND HAV28_01020(2) AND HAV28_01015(1) AND HAV28_01010(1),,
CPLX_CRO4abcpp-1,Chromate transport via ABC system (periplasm),HAV28_01020() AND HAV28_01010() AND HAV28_01015() AND HAV28_07865(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,HAV28_20955() AND HAV28_20950() AND HAV28_20945(),,
CPLX_DURAD-0,Dihydrouracil dehydrogenase (NADP),HAV28_15620() AND HAV28_15615(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,HAV28_22485(6) AND HAV28_22490(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),HAV28_00885() AND HAV28_00890() AND HAV28_19975(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),HAV28_06250() AND HAV28_21325(),,
CPLX_GALURt2rpp-0,"D-galacturonate transport via proton symport, reversible (periplasm)",HAV28_13795() AND HAV28_13785() AND HAV28_13790(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),HAV28_05430() AND HAV28_05435() AND HAV28_05440() AND HAV28_05445(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,HAV28_01660(4) AND HAV28_01655(4),,
CPLX_GLYBabcpp-0,Glycine betaine transport via ABC system (periplasm),HAV28_19075() AND HAV28_23835() AND HAV28_23830(),,
CPLX_HSERTA-0,Homoserine O trans acetylase,HAV28_01550() AND HAV28_01545(),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,HAV28_08000() AND HAV28_08005() AND HAV28_07995(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,HAV28_23840(1) AND HAV28_23855(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),HAV28_19720(1) AND HAV28_19730(1) AND HAV28_19725(1) AND HAV28_19740(1) AND HAV28_19735(1),,
CPLX_ILEabcpp-1,L-isoleucine transport via ABC system (periplasm),HAV28_02725() AND HAV28_02720() AND HAV28_02710() AND HAV28_02705() AND HAV28_02715(),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,HAV28_18065(1) AND HAV28_18070(1),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),HAV28_18255() AND HAV28_18240() AND HAV28_18250() AND HAV28_06085(),,
CPLX_LCYSTabcpp-0,L-cysteate transport via ABC system (periplasm),HAV28_09735() AND HAV28_24315() AND HAV28_24190(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),HAV28_23940() AND HAV28_23935() AND HAV28_23930() AND HAV28_23925(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,HAV28_12860() AND HAV28_18245(),,
CPLX_MCOATA-1,Malonyl-CoA-ACP transacylase,HAV28_18245() AND HAV28_18255(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,HAV28_23630() AND HAV28_00795(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,HAV28_18405() AND HAV28_00795(),,
CPLX_METSOXR1-2,L-methionine-S-oxide reductase,HAV28_23630() AND HAV28_22630(),,
CPLX_METSOXR1-3,L-methionine-S-oxide reductase,HAV28_18405() AND HAV28_22630(),,
CPLX_MNabc_1-0,Manganese Mn2 transport via ABC system periplasm,HAV28_14455() AND HAV28_14465() AND HAV28_14460(),,
CPLX_MOBDabcpp-0,Molybdate transport via ABC system (periplasm),HAV28_15115() AND HAV28_15120() AND HAV28_15125(),,
CPLX_MPTG-0,Murein polymerizing transglycosylase,HAV28_21675() AND HAV28_20855() AND HAV28_03215(),,
CPLX_MPTG-1,Murein polymerizing transglycosylase,HAV28_01615() AND HAV28_20855() AND HAV28_03215(),,
CPLX_MPTG-2,Murein polymerizing transglycosylase,HAV28_01500() AND HAV28_20855() AND HAV28_03215(),,
CPLX_NADH16pp-0,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),HAV28_08960(1) AND HAV28_08935() AND HAV28_08940() AND HAV28_08905() AND HAV28_08920() AND HAV28_08945() AND HAV28_08915() AND HAV28_08925() AND HAV28_08950() AND HAV28_08910() AND HAV28_08930() AND HAV28_08900() AND HAV28_08955(),,
CPLX_OCBT-0,Ornithine carbamoyltransferase,HAV28_19970() AND HAV28_05350(),,
CPLX_OIVD1r-0,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),HAV28_07390() AND HAV28_07385() AND HAV28_07380() AND HAV28_07375(),,
CPLX_OPHBDC-0,Octaprenyl-hydroxybenzoate decarboxylase,HAV28_00805() AND HAV28_22460(),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),HAV28_15940() AND HAV28_22630(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),HAV28_15940() AND HAV28_01765(),,
CPLX_PC-0,Pyruvate carboxylase,HAV28_25100() AND HAV28_25095(),,
CPLX_PCADYOX-0,Protocatechuate 3 4 dioxygenase,HAV28_21520() AND HAV28_21515(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,HAV28_23200() AND HAV28_20170(),,
CPLX_PHEMEabcpp-0,Protoheme transport via ABC system (periplasm),HAV28_07765() AND HAV28_07770() AND HAV28_07775(),,
CPLX_PIuabcpp-0,"Phosphate transport via ABC system (uptake, periplasm)",HAV28_24975() AND HAV28_24970() AND HAV28_24980() AND HAV28_24985(),,
