b0001	EWS79_RS08785	61.538	13	5	0	5	17	113	125	4.2	19.6
b0001	ZMO2035	61.538	13	5	0	5	17	117	129	4.6	19.2
b0002	ZMO1653	32.303	356	204	14	121	456	68	406	1.09e-31	125
b0002	ZMO1653	46.809	47	24	1	3	48	5	51	0.009	35.8
b0002	EWS79_RS07390	32.303	356	204	14	121	456	68	406	1.11e-31	125
b0002	EWS79_RS07390	46.809	47	24	1	3	48	5	51	0.009	35.8
b0002	ZMO0483	31.707	123	75	4	568	687	96	212	1.26e-11	64.3
b0002	EWS79_RS02060	31.707	123	75	4	568	687	96	212	1.26e-11	64.3
b0002	ZMO1154	32.836	67	39	1	195	255	125	191	0.001	38.1
b0002	EWS79_RS05155	32.836	67	39	1	195	255	125	191	0.001	38.1
b0002	ZMO0206	28.889	45	32	0	207	251	180	224	1.0	29.3
b0002	EWS79_RS00885	28.889	45	32	0	207	251	180	224	1.0	29.3
b0002	ZMO1960	35.714	56	20	3	739	778	164	219	2.4	28.1
b0002	EWS79_RS08910	35.714	56	20	3	739	778	164	219	2.4	28.1
b0002	ZMO1776	30.909	55	35	1	562	616	429	480	2.4	28.1
b0002	EWS79_RS07960	30.909	55	35	1	562	616	429	480	2.4	28.1
b0002	ZMO0053	40.000	25	15	0	554	578	29	53	4.0	27.3
b0002	EWS79_RS00220	40.000	25	15	0	554	578	29	53	4.0	27.3
b0002	ZMO0624	38.462	39	24	0	656	694	481	519	6.0	26.9
b0002	EWS79_RS02745	38.462	39	24	0	656	694	481	519	6.0	26.9
b0002	ZMO0919	21.622	185	113	6	43	206	495	668	7.0	26.9
b0002	EWS79_RS04080	21.495	107	75	2	43	148	495	593	7.2	26.6
b0002	EWS79_RS06355	30.000	60	42	0	612	671	439	498	8.7	26.2
b0002	ZMO1429	30.000	60	42	0	612	671	439	498	8.9	26.2
b0003	EWS79_RS05280	23.577	246	158	9	33	274	39	258	4.76e-04	37.7
b0003	ZMO1182	23.577	246	158	9	33	274	39	258	4.84e-04	37.7
b0003	ZMO0369	36.000	25	16	0	68	92	45	69	5.0	25.4
b0003	EWS79_RS01560	36.000	25	16	0	68	92	45	69	5.0	25.4
b0004	ZMO1891	34.588	425	239	10	15	402	15	437	4.63e-68	220
b0004	EWS79_RS08540	34.588	425	239	10	15	402	15	437	4.74e-68	220
b0004	ZMO0070	27.907	86	49	4	111	189	57	136	0.30	29.6
b0004	EWS79_RS00285	27.907	86	49	4	111	189	57	136	0.30	29.6
b0004	ZMO1237	35.000	40	20	1	15	48	159	198	1.9	27.3
b0004	EWS79_RS05545	35.000	40	20	1	15	48	159	198	1.9	27.3
b0004	ZMO1242	35.714	42	21	2	291	328	50	89	2.4	26.9
b0004	EWS79_RS05555	35.714	42	21	2	291	328	50	89	2.4	26.9
b0004	ZMO0322	29.310	58	33	1	30	79	61	118	4.4	26.2
b0004	EWS79_RS01365	29.310	58	33	1	30	79	61	118	4.4	26.2
b0005	ZMO0435	45.455	22	12	0	4	25	1	22	0.20	26.6
b0005	EWS79_RS01855	40.909	22	13	0	4	25	1	22	0.80	25.0
b0005	ZMO1599	55.556	18	4	1	74	87	430	447	1.9	24.3
b0005	EWS79_RS07130	55.556	18	4	1	74	87	430	447	1.9	24.3
b0005	ZMO1394	60.000	10	4	0	47	56	201	210	8.7	22.3
b0005	EWS79_RS06190	60.000	10	4	0	47	56	201	210	8.7	22.3
b0005	ZMO1148	47.826	23	12	0	15	37	929	951	9.1	22.3
b0005	EWS79_RS05125	47.826	23	12	0	15	37	929	951	9.1	22.3
b0006	ZMO0113	33.333	63	31	3	66	117	209	271	1.1	27.3
b0006	EWS79_RS00465	33.333	63	31	3	66	117	209	271	1.1	27.3
b0006	ZMO1708	35.088	57	33	2	45	99	113	167	8.2	24.3
b0006	EWS79_RS07650	35.088	57	33	2	45	99	113	167	8.2	24.3
b0008	ZMO1946	38.889	36	22	0	121	156	2	37	2.7	26.2
b0008	EWS79_RS08835	38.889	36	22	0	121	156	2	37	2.7	26.2
b0008	ZMO1959	27.160	81	57	1	54	134	246	324	7.9	25.0
b0008	EWS79_RS08905	27.160	81	57	1	54	134	246	324	7.9	25.0
b0008	ZMO0672	26.882	93	43	2	1	93	376	443	8.6	25.0
b0008	EWS79_RS02965	26.882	93	43	2	1	93	376	443	8.6	25.0
b0009	ZMO1350	32.468	77	48	2	8	84	12	84	5.02e-05	39.7
b0009	EWS79_RS06005	32.468	77	48	2	8	84	12	84	5.03e-05	39.7
b0009	ZMO0348	36.364	55	26	3	103	156	247	293	4.9	24.6
b0009	EWS79_RS01465	36.364	55	26	3	103	156	247	293	4.9	24.6
b0009	ZMO0823	28.947	38	27	0	133	170	9	46	7.6	23.9
b0009	EWS79_RS03640	28.947	38	27	0	133	170	9	46	7.6	23.9
b0010	ZMO0303	64.706	17	6	0	88	104	21	37	2.1	25.8
b0010	EWS79_RS01295	64.706	17	6	0	88	104	21	37	2.1	25.8
b0010	ZMO0581	47.059	34	13	1	15	48	266	294	7.0	23.9
b0010	EWS79_RS02560	47.059	34	13	1	15	48	266	294	7.0	23.9
b0010	ZMO1331	31.915	47	29	1	106	149	572	618	8.0	23.9
b0010	ZMO1331	31.429	35	24	0	79	113	446	480	8.3	23.9
b0010	EWS79_RS05935	31.915	47	29	1	106	149	572	618	8.0	23.9
b0010	EWS79_RS05935	31.429	35	24	0	79	113	446	480	8.3	23.9
b0010	ZMO1911	50.000	16	8	0	20	35	12	27	8.3	23.5
b0010	EWS79_RS08640	50.000	16	8	0	20	35	12	27	8.3	23.5
b0010	ZMO0927	36.585	41	26	0	104	144	119	159	8.8	23.5
b0010	EWS79_RS04125	36.585	41	26	0	104	144	119	159	8.8	23.5
b0011	ZMO1506	43.333	30	17	0	43	72	62	91	5.7	23.9
b0011	EWS79_RS06715	43.333	30	17	0	43	72	62	91	5.8	23.9
b0013	ZMO0843	47.826	23	12	0	61	83	43	65	0.62	26.6
b0013	EWS79_RS03730	47.826	23	12	0	61	83	43	65	0.62	26.6
