Reaction	Complexes
2AGPE140tipp	PPTS312_17270-MONOMER
2AGPE141tipp	PPTS312_17270-MONOMER
2AGPG140tipp	PPTS312_17270-MONOMER
2AGPG141tipp	PPTS312_17270-MONOMER
2DHGLCK	PPTS312_29240-MONOMER
2DHGLCNkt_tpp	PPTS312_29250-MONOMER
2HH24DDH1	PPTS312_35860-MONOMER
2MAHMP	PPTS312_37140-MONOMER
3AMACHYD	PPTS312_21670-MONOMER
3HAACOAT100	PPTS312_45000-MONOMER
3HAACOAT120	PPTS312_45000-MONOMER
3HAACOAT121	PPTS312_45000-MONOMER
3HAACOAT140	PPTS312_45000-MONOMER
3HAACOAT141	PPTS312_45000-MONOMER
3HAACOAT60	PPTS312_45000-MONOMER
3HAACOAT80	PPTS312_45000-MONOMER
3HAD100	PPTS312_16380-MONOMER
3HAD120	PPTS312_16380-MONOMER
3HAD121	PPTS312_16380-MONOMER
3HAD140	PPTS312_16380-MONOMER
3HAD141	PPTS312_16380-MONOMER
3HAD160	PPTS312_16380-MONOMER
3HAD161	PPTS312_16380-MONOMER
3HAD180	PPTS312_16380-MONOMER
3HAD181	PPTS312_16380-MONOMER
3HAD40	PPTS312_16380-MONOMER
3HAD60	PPTS312_16380-MONOMER
3HAD80	PPTS312_16380-MONOMER
3HOXPACt2pp	PPTS312_35850-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	PPTS312_19400-MONOMER
3OAR120	PPTS312_19400-MONOMER
3OAR121	PPTS312_19400-MONOMER
3OAR140	PPTS312_19400-MONOMER
3OAR141	PPTS312_19400-MONOMER
3OAR160	PPTS312_19400-MONOMER
3OAR161	PPTS312_19400-MONOMER
3OAR180	PPTS312_19400-MONOMER
3OAR181	PPTS312_19400-MONOMER
3OAR40	PPTS312_19400-MONOMER
3OAR60	PPTS312_19400-MONOMER
3OAR80	PPTS312_19400-MONOMER
3OAS100	PPTS312_19420-MONOMER OR PPTS312_38580-MONOMER
3OAS120	PPTS312_19420-MONOMER OR PPTS312_38580-MONOMER
3OAS121	PPTS312_38580-MONOMER
3OAS140	PPTS312_19420-MONOMER OR PPTS312_38580-MONOMER
3OAS141	PPTS312_38580-MONOMER
3OAS160	PPTS312_19420-MONOMER OR PPTS312_38580-MONOMER
3OAS161	PPTS312_38580-MONOMER
3OAS180	PPTS312_38580-MONOMER
3OAS181	PPTS312_38580-MONOMER
3OAS60	PPTS312_19420-MONOMER OR PPTS312_38580-MONOMER
3OAS80	PPTS312_19420-MONOMER OR PPTS312_38580-MONOMER
3OXCOAT	PPTS312_45360-MONOMER
3OXOADPt_pp	PPTS312_45350-MONOMER
