bnum	position	modification
PPTS312_r00010	1518	m62A
PPTS312_r00010	1519	m62A
PPTS312_r00040	1518	m62A
PPTS312_r00040	1519	m62A
PPTS312_r00080	1518	m62A
PPTS312_r00080	1519	m62A
PPTS312_r00110	1518	m62A
PPTS312_r00110	1519	m62A
PPTS312_r00140	1518	m62A
PPTS312_r00140	1519	m62A
PPTS312_r00190	1518	m62A
PPTS312_r00190	1519	m62A
PPTS312_r00220	1518	m62A
PPTS312_r00220	1519	m62A
PPTS312_r00010	967	m5C
PPTS312_r00040	967	m5C
PPTS312_r00080	967	m5C
PPTS312_r00110	967	m5C
PPTS312_r00140	967	m5C
PPTS312_r00190	967	m5C
PPTS312_r00220	967	m5C
PPTS312_r00010	966	m2G
PPTS312_r00040	966	m2G
PPTS312_r00080	966	m2G
PPTS312_r00110	966	m2G
PPTS312_r00140	966	m2G
PPTS312_r00190	966	m2G
PPTS312_r00220	966	m2G
PPTS312_r00010	1498	m3U
PPTS312_r00040	1498	m3U
PPTS312_r00080	1498	m3U
PPTS312_r00110	1498	m3U
PPTS312_r00140	1498	m3U
PPTS312_r00190	1498	m3U
PPTS312_r00220	1498	m3U
PPTS312_r00010	527	m7G
PPTS312_r00040	527	m7G
PPTS312_r00080	527	m7G
PPTS312_r00110	527	m7G
PPTS312_r00140	527	m7G
PPTS312_r00190	527	m7G
PPTS312_r00220	527	m7G
PPTS312_r00010	1402	m4Cm
PPTS312_r00040	1402	m4Cm
PPTS312_r00080	1402	m4Cm
PPTS312_r00110	1402	m4Cm
PPTS312_r00140	1402	m4Cm
PPTS312_r00190	1402	m4Cm
PPTS312_r00220	1402	m4Cm
PPTS312_r00010	516	Y
PPTS312_r00040	516	Y
PPTS312_r00080	516	Y
PPTS312_r00110	516	Y
PPTS312_r00140	516	Y
PPTS312_r00190	516	Y
PPTS312_r00220	516	Y
PPTS312_r00020	2503	m2A
PPTS312_r00050	2503	m2A
PPTS312_r00090	2503	m2A
PPTS312_r00120	2503	m2A
PPTS312_r00150	2503	m2A
PPTS312_r00180	2503	m2A
PPTS312_r00210	2503	m2A
PPTS312_r00020	2251	Gm
PPTS312_r00050	2251	Gm
PPTS312_r00090	2251	Gm
PPTS312_r00120	2251	Gm
PPTS312_r00150	2251	Gm
PPTS312_r00180	2251	Gm
PPTS312_r00210	2251	Gm
PPTS312_r00020	1939	m5U
PPTS312_r00050	1939	m5U
PPTS312_r00090	1939	m5U
PPTS312_r00120	1939	m5U
PPTS312_r00150	1939	m5U
PPTS312_r00180	1939	m5U
PPTS312_r00210	1939	m5U
PPTS312_r00020	2498	Cm
PPTS312_r00050	2498	Cm
PPTS312_r00090	2498	Cm
PPTS312_r00120	2498	Cm
PPTS312_r00150	2498	Cm
PPTS312_r00180	2498	Cm
PPTS312_r00210	2498	Cm
PPTS312_r00020	745	m1G
PPTS312_r00050	745	m1G
PPTS312_r00090	745	m1G
PPTS312_r00120	745	m1G
PPTS312_r00150	745	m1G
PPTS312_r00180	745	m1G
PPTS312_r00210	745	m1G
PPTS312_r00020	1835	m2G
PPTS312_r00050	1835	m2G
PPTS312_r00090	1835	m2G
PPTS312_r00120	1835	m2G
PPTS312_r00150	1835	m2G
PPTS312_r00180	1835	m2G
PPTS312_r00210	1835	m2G
PPTS312_r00020	1962	m5C
PPTS312_r00050	1962	m5C
PPTS312_r00090	1962	m5C
PPTS312_r00120	1962	m5C
PPTS312_r00150	1962	m5C
PPTS312_r00180	1962	m5C
PPTS312_r00210	1962	m5C
PPTS312_r00020	1618	m6A
PPTS312_r00050	1618	m6A
PPTS312_r00090	1618	m6A
PPTS312_r00120	1618	m6A
PPTS312_r00150	1618	m6A
PPTS312_r00180	1618	m6A
PPTS312_r00210	1618	m6A
PPTS312_r00020	2069	m7G
PPTS312_r00050	2069	m7G
PPTS312_r00090	2069	m7G
PPTS312_r00120	2069	m7G
PPTS312_r00150	2069	m7G
PPTS312_r00180	2069	m7G
PPTS312_r00210	2069	m7G
PPTS312_r00020	2552	Um
PPTS312_r00050	2552	Um
PPTS312_r00090	2552	Um
PPTS312_r00120	2552	Um
PPTS312_r00150	2552	Um
PPTS312_r00180	2552	Um
PPTS312_r00210	2552	Um
PPTS312_r00020	1911	Y
PPTS312_r00020	1915	Y
PPTS312_r00020	1917	Y
PPTS312_r00050	1911	Y
PPTS312_r00050	1915	Y
PPTS312_r00050	1917	Y
PPTS312_r00090	1911	Y
PPTS312_r00090	1915	Y
PPTS312_r00090	1917	Y
PPTS312_r00120	1911	Y
PPTS312_r00120	1915	Y
PPTS312_r00120	1917	Y
PPTS312_r00150	1911	Y
PPTS312_r00150	1915	Y
PPTS312_r00150	1917	Y
PPTS312_r00180	1911	Y
PPTS312_r00180	1915	Y
PPTS312_r00180	1917	Y
PPTS312_r00210	1911	Y
PPTS312_r00210	1915	Y
PPTS312_r00210	1917	Y
