bnum	position	modification
CS390_00735	1518	m62A
CS390_00735	1519	m62A
CS390_03255	1518	m62A
CS390_03255	1519	m62A
CS390_07135	1518	m62A
CS390_07135	1519	m62A
CS390_15820	1518	m62A
CS390_15820	1519	m62A
CS390_18710	1518	m62A
CS390_18710	1519	m62A
CS390_20710	1518	m62A
CS390_20710	1519	m62A
CS390_22125	1518	m62A
CS390_22125	1519	m62A
CS390_00735	967	m5C
CS390_03255	967	m5C
CS390_07135	967	m5C
CS390_15820	967	m5C
CS390_18710	967	m5C
CS390_20710	967	m5C
CS390_22125	967	m5C
CS390_00735	966	m2G
CS390_03255	966	m2G
CS390_07135	966	m2G
CS390_15820	966	m2G
CS390_18710	966	m2G
CS390_20710	966	m2G
CS390_22125	966	m2G
CS390_00735	1498	m3U
CS390_03255	1498	m3U
CS390_07135	1498	m3U
CS390_15820	1498	m3U
CS390_18710	1498	m3U
CS390_20710	1498	m3U
CS390_22125	1498	m3U
CS390_00735	527	m7G
CS390_03255	527	m7G
CS390_07135	527	m7G
CS390_15820	527	m7G
CS390_18710	527	m7G
CS390_20710	527	m7G
CS390_22125	527	m7G
CS390_00735	1402	m4Cm
CS390_03255	1402	m4Cm
CS390_07135	1402	m4Cm
CS390_15820	1402	m4Cm
CS390_18710	1402	m4Cm
CS390_20710	1402	m4Cm
CS390_22125	1402	m4Cm
CS390_00735	516	Y
CS390_03255	516	Y
CS390_07135	516	Y
CS390_15820	516	Y
CS390_18710	516	Y
CS390_20710	516	Y
CS390_22125	516	Y
CS390_00750	2503	m2A
CS390_03270	2503	m2A
CS390_07140	2503	m2A
CS390_15805	2503	m2A
CS390_18695	2503	m2A
CS390_20695	2503	m2A
CS390_22110	2503	m2A
CS390_00750	2251	Gm
CS390_03270	2251	Gm
CS390_07140	2251	Gm
CS390_15805	2251	Gm
CS390_18695	2251	Gm
CS390_20695	2251	Gm
CS390_22110	2251	Gm
CS390_00750	1939	m5U
CS390_03270	1939	m5U
CS390_07140	1939	m5U
CS390_15805	1939	m5U
CS390_18695	1939	m5U
CS390_20695	1939	m5U
CS390_22110	1939	m5U
CS390_00750	2498	Cm
CS390_03270	2498	Cm
CS390_07140	2498	Cm
CS390_15805	2498	Cm
CS390_18695	2498	Cm
CS390_20695	2498	Cm
CS390_22110	2498	Cm
CS390_00750	745	m1G
CS390_03270	745	m1G
CS390_07140	745	m1G
CS390_15805	745	m1G
CS390_18695	745	m1G
CS390_20695	745	m1G
CS390_22110	745	m1G
CS390_00750	1835	m2G
CS390_03270	1835	m2G
CS390_07140	1835	m2G
CS390_15805	1835	m2G
CS390_18695	1835	m2G
CS390_20695	1835	m2G
CS390_22110	1835	m2G
CS390_00750	1962	m5C
CS390_03270	1962	m5C
CS390_07140	1962	m5C
CS390_15805	1962	m5C
CS390_18695	1962	m5C
CS390_20695	1962	m5C
CS390_22110	1962	m5C
CS390_00750	1618	m6A
CS390_03270	1618	m6A
CS390_07140	1618	m6A
CS390_15805	1618	m6A
CS390_18695	1618	m6A
CS390_20695	1618	m6A
CS390_22110	1618	m6A
CS390_00750	2069	m7G
CS390_03270	2069	m7G
CS390_07140	2069	m7G
CS390_15805	2069	m7G
CS390_18695	2069	m7G
CS390_20695	2069	m7G
CS390_22110	2069	m7G
CS390_00750	2552	Um
CS390_03270	2552	Um
CS390_07140	2552	Um
CS390_15805	2552	Um
CS390_18695	2552	Um
CS390_20695	2552	Um
CS390_22110	2552	Um
CS390_00750	1911	Y
CS390_00750	1915	Y
CS390_00750	1917	Y
CS390_03270	1911	Y
CS390_03270	1915	Y
CS390_03270	1917	Y
CS390_07140	1911	Y
CS390_07140	1915	Y
CS390_07140	1917	Y
CS390_15805	1911	Y
CS390_15805	1915	Y
CS390_15805	1917	Y
CS390_18695	1911	Y
CS390_18695	1915	Y
CS390_18695	1917	Y
CS390_20695	1911	Y
CS390_20695	1915	Y
CS390_20695	1917	Y
CS390_22110	1911	Y
CS390_22110	1915	Y
CS390_22110	1917	Y
