amino_acid	enzyme
ala__L_c	CS390_07075-MONOMER
arg__L_c	CS390_01685-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	CS390_06260-MONOMER
cys__L_c	CS390_08635-MONOMER
gln__L_c	CS390_08630-MONOMER
glu__L_c	CS390_17360-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	CS390_04670-MONOMER
ile__L_c	CS390_20655-MONOMER
leu__L_c	CS390_21375-MONOMER
lys__L_c	CS390_05525-MONOMER
met__L_c	CS390_19040-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	CS390_06220-MONOMER
ser__L_c	CS390_15430-MONOMER
thr__L_c	CS390_09160-MONOMER
trp__L_c	CS390_20145-MONOMER
tyr__L_c	generic_tyr_ligase
val__L_c	CS390_05035-MONOMER
