bnum	position	modification
I9X27_03315	1518	m62A
I9X27_03315	1519	m62A
I9X27_23065	1518	m62A
I9X27_23065	1519	m62A
I9X27_25240	1518	m62A
I9X27_25240	1519	m62A
I9X27_28870	1518	m62A
I9X27_28870	1519	m62A
I9X27_03315	967	m5C
I9X27_23065	967	m5C
I9X27_25240	967	m5C
I9X27_28870	967	m5C
I9X27_03315	966	m2G
I9X27_23065	966	m2G
I9X27_25240	966	m2G
I9X27_28870	966	m2G
I9X27_03315	1498	m3U
I9X27_23065	1498	m3U
I9X27_25240	1498	m3U
I9X27_28870	1498	m3U
I9X27_03315	527	m7G
I9X27_23065	527	m7G
I9X27_25240	527	m7G
I9X27_28870	527	m7G
I9X27_03315	1402	m4Cm
I9X27_23065	1402	m4Cm
I9X27_25240	1402	m4Cm
I9X27_28870	1402	m4Cm
I9X27_03315	516	Y
I9X27_23065	516	Y
I9X27_25240	516	Y
I9X27_28870	516	Y
I9X27_03330	2503	m2A
I9X27_23050	2503	m2A
I9X27_25225	2503	m2A
I9X27_28855	2503	m2A
I9X27_03330	2251	Gm
I9X27_23050	2251	Gm
I9X27_25225	2251	Gm
I9X27_28855	2251	Gm
I9X27_03330	1939	m5U
I9X27_23050	1939	m5U
I9X27_25225	1939	m5U
I9X27_28855	1939	m5U
I9X27_03330	2498	Cm
I9X27_23050	2498	Cm
I9X27_25225	2498	Cm
I9X27_28855	2498	Cm
I9X27_03330	745	m1G
I9X27_23050	745	m1G
I9X27_25225	745	m1G
I9X27_28855	745	m1G
I9X27_03330	1835	m2G
I9X27_23050	1835	m2G
I9X27_25225	1835	m2G
I9X27_28855	1835	m2G
I9X27_03330	1962	m5C
I9X27_23050	1962	m5C
I9X27_25225	1962	m5C
I9X27_28855	1962	m5C
I9X27_03330	1618	m6A
I9X27_23050	1618	m6A
I9X27_25225	1618	m6A
I9X27_28855	1618	m6A
I9X27_03330	2069	m7G
I9X27_23050	2069	m7G
I9X27_25225	2069	m7G
I9X27_28855	2069	m7G
I9X27_03330	2552	Um
I9X27_23050	2552	Um
I9X27_25225	2552	Um
I9X27_28855	2552	Um
I9X27_03330	1911	Y
I9X27_03330	1915	Y
I9X27_03330	1917	Y
I9X27_23050	1911	Y
I9X27_23050	1915	Y
I9X27_23050	1917	Y
I9X27_25225	1911	Y
I9X27_25225	1915	Y
I9X27_25225	1917	Y
I9X27_28855	1911	Y
I9X27_28855	1915	Y
I9X27_28855	1917	Y
