amino_acid	enzyme
ala__L_c	BVH74_10320-MONOMER
arg__L_c	BVH74_03590-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	BVH74_09980-MONOMER
cys__L_c	BVH74_13665-MONOMER
gln__L_c	BVH74_13660-MONOMER
glu__L_c	BVH74_15865-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	BVH74_08080-MONOMER
ile__L_c	BVH74_08475-MONOMER
leu__L_c	BVH74_09230-MONOMER
lys__L_c	BVH74_00490-MONOMER
met__L_c	BVH74_15210-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	BVH74_09950-MONOMER
ser__L_c	BVH74_13465-MONOMER
thr__L_c	BVH74_14440-MONOMER
trp__L_c	BVH74_10720-MONOMER
tyr__L_c	BVH74_02910-MONOMER
val__L_c	BVH74_01340-MONOMER
