bnum	position	modification
BVH74_01735	1518	m62A
BVH74_01735	1519	m62A
BVH74_02905	1518	m62A
BVH74_02905	1519	m62A
BVH74_03560	1518	m62A
BVH74_03560	1519	m62A
BVH74_01735	967	m5C
BVH74_02905	967	m5C
BVH74_03560	967	m5C
BVH74_01735	966	m2G
BVH74_02905	966	m2G
BVH74_03560	966	m2G
BVH74_01735	1498	m3U
BVH74_02905	1498	m3U
BVH74_03560	1498	m3U
BVH74_01735	527	m7G
BVH74_02905	527	m7G
BVH74_03560	527	m7G
BVH74_01735	1402	m4Cm
BVH74_02905	1402	m4Cm
BVH74_03560	1402	m4Cm
BVH74_01735	516	Y
BVH74_02905	516	Y
BVH74_03560	516	Y
BVH74_01720	2503	m2A
BVH74_02890	2503	m2A
BVH74_03545	2503	m2A
BVH74_01720	2251	Gm
BVH74_02890	2251	Gm
BVH74_03545	2251	Gm
BVH74_01720	1939	m5U
BVH74_02890	1939	m5U
BVH74_03545	1939	m5U
BVH74_01720	2498	Cm
BVH74_02890	2498	Cm
BVH74_03545	2498	Cm
BVH74_01720	745	m1G
BVH74_02890	745	m1G
BVH74_03545	745	m1G
BVH74_01720	1835	m2G
BVH74_02890	1835	m2G
BVH74_03545	1835	m2G
BVH74_01720	1962	m5C
BVH74_02890	1962	m5C
BVH74_03545	1962	m5C
BVH74_01720	1618	m6A
BVH74_02890	1618	m6A
BVH74_03545	1618	m6A
BVH74_01720	2069	m7G
BVH74_02890	2069	m7G
BVH74_03545	2069	m7G
BVH74_01720	2552	Um
BVH74_02890	2552	Um
BVH74_03545	2552	Um
BVH74_01720	1911	Y
BVH74_01720	1915	Y
BVH74_01720	1917	Y
BVH74_02890	1911	Y
BVH74_02890	1915	Y
BVH74_02890	1917	Y
BVH74_03545	1911	Y
BVH74_03545	1915	Y
BVH74_03545	1917	Y
