bnum	position	modification
FIU98_13775	1518	m62A
FIU98_13775	1519	m62A
FIU98_18915	1518	m62A
FIU98_18915	1519	m62A
FIU98_21195	1518	m62A
FIU98_21195	1519	m62A
FIU98_23595	1518	m62A
FIU98_23595	1519	m62A
FIU98_13775	967	m5C
FIU98_18915	967	m5C
FIU98_21195	967	m5C
FIU98_23595	967	m5C
FIU98_13775	966	m2G
FIU98_18915	966	m2G
FIU98_21195	966	m2G
FIU98_23595	966	m2G
FIU98_13775	1498	m3U
FIU98_18915	1498	m3U
FIU98_21195	1498	m3U
FIU98_23595	1498	m3U
FIU98_13775	527	m7G
FIU98_18915	527	m7G
FIU98_21195	527	m7G
FIU98_23595	527	m7G
FIU98_13775	1402	m4Cm
FIU98_18915	1402	m4Cm
FIU98_21195	1402	m4Cm
FIU98_23595	1402	m4Cm
FIU98_13775	516	Y
FIU98_18915	516	Y
FIU98_21195	516	Y
FIU98_23595	516	Y
FIU98_13760	2503	m2A
FIU98_18900	2503	m2A
FIU98_21180	2503	m2A
FIU98_23580	2503	m2A
FIU98_13760	2251	Gm
FIU98_18900	2251	Gm
FIU98_21180	2251	Gm
FIU98_23580	2251	Gm
FIU98_13760	1939	m5U
FIU98_18900	1939	m5U
FIU98_21180	1939	m5U
FIU98_23580	1939	m5U
FIU98_13760	2498	Cm
FIU98_18900	2498	Cm
FIU98_21180	2498	Cm
FIU98_23580	2498	Cm
FIU98_13760	745	m1G
FIU98_18900	745	m1G
FIU98_21180	745	m1G
FIU98_23580	745	m1G
FIU98_13760	1835	m2G
FIU98_18900	1835	m2G
FIU98_21180	1835	m2G
FIU98_23580	1835	m2G
FIU98_13760	1962	m5C
FIU98_18900	1962	m5C
FIU98_21180	1962	m5C
FIU98_23580	1962	m5C
FIU98_13760	1618	m6A
FIU98_18900	1618	m6A
FIU98_21180	1618	m6A
FIU98_23580	1618	m6A
FIU98_13760	2069	m7G
FIU98_18900	2069	m7G
FIU98_21180	2069	m7G
FIU98_23580	2069	m7G
FIU98_13760	2552	Um
FIU98_18900	2552	Um
FIU98_21180	2552	Um
FIU98_23580	2552	Um
FIU98_13760	1911	Y
FIU98_13760	1915	Y
FIU98_13760	1917	Y
FIU98_18900	1911	Y
FIU98_18900	1915	Y
FIU98_18900	1917	Y
FIU98_21180	1911	Y
FIU98_21180	1915	Y
FIU98_21180	1917	Y
FIU98_23580	1911	Y
FIU98_23580	1915	Y
FIU98_23580	1917	Y
