Reaction	Complexes
2AGPE140tipp	CHN49_21220-MONOMER
2AGPE141tipp	CHN49_21220-MONOMER
2AGPG140tipp	CHN49_21220-MONOMER
2AGPG141tipp	CHN49_21220-MONOMER
2DHGLCK	CHN49_12885-MONOMER
2DHGLCNkt_tpp	CHN49_12890-MONOMER
2MAHMP	CHN49_09515-MONOMER
3AMACHYD	CHN49_18380-MONOMER
3HAACOAT100	CHN49_22725-MONOMER
3HAACOAT120	CHN49_22725-MONOMER
3HAACOAT121	CHN49_22725-MONOMER
3HAACOAT140	CHN49_22725-MONOMER
3HAACOAT141	CHN49_22725-MONOMER
3HAACOAT60	CHN49_22725-MONOMER
3HAACOAT80	CHN49_22725-MONOMER
3HAD100	CHN49_22015-MONOMER
3HAD120	CHN49_22015-MONOMER
3HAD121	CHN49_22015-MONOMER
3HAD140	CHN49_22015-MONOMER
3HAD141	CHN49_22015-MONOMER
3HAD160	CHN49_22015-MONOMER
3HAD161	CHN49_22015-MONOMER
3HAD180	CHN49_22015-MONOMER
3HAD181	CHN49_22015-MONOMER
3HAD40	CHN49_22015-MONOMER
3HAD60	CHN49_22015-MONOMER
3HAD80	CHN49_22015-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	CHN49_20015-MONOMER
3OAR120	CHN49_20015-MONOMER
3OAR121	CHN49_20015-MONOMER
3OAR140	CHN49_20015-MONOMER
3OAR141	CHN49_20015-MONOMER
3OAR160	CHN49_20015-MONOMER
3OAR161	CHN49_20015-MONOMER
3OAR180	CHN49_20015-MONOMER
3OAR181	CHN49_20015-MONOMER
3OAR40	CHN49_20015-MONOMER
3OAR60	CHN49_20015-MONOMER
3OAR80	CHN49_20015-MONOMER
3OAS100	CHN49_20005-MONOMER OR CHN49_08760-MONOMER
3OAS120	CHN49_20005-MONOMER OR CHN49_08760-MONOMER
3OAS121	CHN49_08760-MONOMER
3OAS140	CHN49_20005-MONOMER OR CHN49_08760-MONOMER
3OAS141	CHN49_08760-MONOMER
3OAS160	CHN49_20005-MONOMER OR CHN49_08760-MONOMER
3OAS161	CHN49_08760-MONOMER
3OAS180	CHN49_08760-MONOMER
3OAS181	CHN49_08760-MONOMER
3OAS60	CHN49_20005-MONOMER OR CHN49_08760-MONOMER
3OAS80	CHN49_20005-MONOMER OR CHN49_08760-MONOMER
3OXCOAT	CHN49_22885-MONOMER
3OXOADPt_pp	CHN49_22880-MONOMER
