complex_id,name,genes,mod,replace
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,FQ342_00200(2) AND FQ342_00205(2),,
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,FQ342_10910(2) AND FQ342_10905(2),,
CPLX_3HPAOX-0,HPA monooxygenase,FQ342_25750() AND FQ342_25755(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,FQ342_07545(2) AND FQ342_00420(2) AND FQ342_04900(2) AND FQ342_07550(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),FQ342_12675() AND FQ342_05470() AND FQ342_06305() AND FQ342_05465(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,FQ342_15920(2) AND FQ342_15915(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,FQ342_01850() AND FQ342_02155(),,
CPLX_ACONCtupp-0,Cisaconitate transport periplasm,FQ342_03660() AND FQ342_03670() AND FQ342_03665(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),FQ342_01850() AND FQ342_01865(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,FQ342_06180(4) AND FQ342_06185(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,FQ342_11525() AND FQ342_11520(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),FQ342_14425() AND FQ342_07720(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),FQ342_06475() AND FQ342_06480() AND FQ342_06485() AND FQ342_06490() AND FQ342_06495(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),FQ342_06495(1) AND FQ342_06490(1) AND FQ342_06485(1) AND FQ342_06480(1) AND FQ342_06460(1),,
CPLX_ANS-0,Anthranilate synthase,FQ342_14040() AND FQ342_14070(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,FQ342_01555() AND FQ342_12245(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),FQ342_19775() AND FQ342_19765() AND FQ342_19760() AND FQ342_31360(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),FQ342_17870() AND FQ342_17865() AND FQ342_17860() AND FQ342_17855(),,
CPLX_AST-0,Arginine succinyltransferase,FQ342_19795() AND FQ342_19790(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,FQ342_06220() AND FQ342_08065(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),FQ342_11055() AND FQ342_11035() AND FQ342_11070() AND FQ342_11065() AND FQ342_11040() AND FQ342_11045() AND FQ342_11060() AND FQ342_11050() AND FQ342_11030(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,FQ342_31005(2) AND FQ342_31000(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),FQ342_12495(2) AND FQ342_12500(2) AND FQ342_12485(),,
