bnum	position	modification
FQ342_07225	1518	m62A
FQ342_07225	1519	m62A
FQ342_10370	1518	m62A
FQ342_10370	1519	m62A
FQ342_14155	1518	m62A
FQ342_14155	1519	m62A
FQ342_15945	1518	m62A
FQ342_15945	1519	m62A
FQ342_21670	1518	m62A
FQ342_21670	1519	m62A
FQ342_07225	967	m5C
FQ342_10370	967	m5C
FQ342_14155	967	m5C
FQ342_15945	967	m5C
FQ342_21670	967	m5C
FQ342_07225	966	m2G
FQ342_10370	966	m2G
FQ342_14155	966	m2G
FQ342_15945	966	m2G
FQ342_21670	966	m2G
FQ342_07225	1498	m3U
FQ342_10370	1498	m3U
FQ342_14155	1498	m3U
FQ342_15945	1498	m3U
FQ342_21670	1498	m3U
FQ342_07225	527	m7G
FQ342_10370	527	m7G
FQ342_14155	527	m7G
FQ342_15945	527	m7G
FQ342_21670	527	m7G
FQ342_07225	1402	m4Cm
FQ342_10370	1402	m4Cm
FQ342_14155	1402	m4Cm
FQ342_15945	1402	m4Cm
FQ342_21670	1402	m4Cm
FQ342_07225	516	Y
FQ342_10370	516	Y
FQ342_14155	516	Y
FQ342_15945	516	Y
FQ342_21670	516	Y
FQ342_07210	2503	m2A
FQ342_10355	2503	m2A
FQ342_14170	2503	m2A
FQ342_15960	2503	m2A
FQ342_21685	2503	m2A
FQ342_07210	2251	Gm
FQ342_10355	2251	Gm
FQ342_14170	2251	Gm
FQ342_15960	2251	Gm
FQ342_21685	2251	Gm
FQ342_07210	1939	m5U
FQ342_10355	1939	m5U
FQ342_14170	1939	m5U
FQ342_15960	1939	m5U
FQ342_21685	1939	m5U
FQ342_07210	2498	Cm
FQ342_10355	2498	Cm
FQ342_14170	2498	Cm
FQ342_15960	2498	Cm
FQ342_21685	2498	Cm
FQ342_07210	745	m1G
FQ342_10355	745	m1G
FQ342_14170	745	m1G
FQ342_15960	745	m1G
FQ342_21685	745	m1G
FQ342_07210	1835	m2G
FQ342_10355	1835	m2G
FQ342_14170	1835	m2G
FQ342_15960	1835	m2G
FQ342_21685	1835	m2G
FQ342_07210	1962	m5C
FQ342_10355	1962	m5C
FQ342_14170	1962	m5C
FQ342_15960	1962	m5C
FQ342_21685	1962	m5C
FQ342_07210	1618	m6A
FQ342_10355	1618	m6A
FQ342_14170	1618	m6A
FQ342_15960	1618	m6A
FQ342_21685	1618	m6A
FQ342_07210	2069	m7G
FQ342_10355	2069	m7G
FQ342_14170	2069	m7G
FQ342_15960	2069	m7G
FQ342_21685	2069	m7G
FQ342_07210	2552	Um
FQ342_10355	2552	Um
FQ342_14170	2552	Um
FQ342_15960	2552	Um
FQ342_21685	2552	Um
FQ342_07210	1911	Y
FQ342_07210	1915	Y
FQ342_07210	1917	Y
FQ342_10355	1911	Y
FQ342_10355	1915	Y
FQ342_10355	1917	Y
FQ342_14170	1911	Y
FQ342_14170	1915	Y
FQ342_14170	1917	Y
FQ342_15960	1911	Y
FQ342_15960	1915	Y
FQ342_15960	1917	Y
FQ342_21685	1911	Y
FQ342_21685	1915	Y
FQ342_21685	1917	Y
