bnum	position	modification
JHW37_03255	1518	m62A
JHW37_03255	1519	m62A
JHW37_22950	1518	m62A
JHW37_22950	1519	m62A
JHW37_25230	1518	m62A
JHW37_25230	1519	m62A
JHW37_28725	1518	m62A
JHW37_28725	1519	m62A
JHW37_03255	967	m5C
JHW37_22950	967	m5C
JHW37_25230	967	m5C
JHW37_28725	967	m5C
JHW37_03255	966	m2G
JHW37_22950	966	m2G
JHW37_25230	966	m2G
JHW37_28725	966	m2G
JHW37_03255	1498	m3U
JHW37_22950	1498	m3U
JHW37_25230	1498	m3U
JHW37_28725	1498	m3U
JHW37_03255	527	m7G
JHW37_22950	527	m7G
JHW37_25230	527	m7G
JHW37_28725	527	m7G
JHW37_03255	1402	m4Cm
JHW37_22950	1402	m4Cm
JHW37_25230	1402	m4Cm
JHW37_28725	1402	m4Cm
JHW37_03270	2503	m2A
JHW37_22935	2503	m2A
JHW37_25215	2503	m2A
JHW37_28710	2503	m2A
JHW37_03270	2251	Gm
JHW37_22935	2251	Gm
JHW37_25215	2251	Gm
JHW37_28710	2251	Gm
JHW37_03270	1939	m5U
JHW37_22935	1939	m5U
JHW37_25215	1939	m5U
JHW37_28710	1939	m5U
JHW37_03270	2498	Cm
JHW37_22935	2498	Cm
JHW37_25215	2498	Cm
JHW37_28710	2498	Cm
JHW37_03270	745	m1G
JHW37_22935	745	m1G
JHW37_25215	745	m1G
JHW37_28710	745	m1G
JHW37_03270	1835	m2G
JHW37_22935	1835	m2G
JHW37_25215	1835	m2G
JHW37_28710	1835	m2G
JHW37_03270	1962	m5C
JHW37_22935	1962	m5C
JHW37_25215	1962	m5C
JHW37_28710	1962	m5C
JHW37_03270	1618	m6A
JHW37_22935	1618	m6A
JHW37_25215	1618	m6A
JHW37_28710	1618	m6A
JHW37_03270	2069	m7G
JHW37_22935	2069	m7G
JHW37_25215	2069	m7G
JHW37_28710	2069	m7G
JHW37_03270	2552	Um
JHW37_22935	2552	Um
JHW37_25215	2552	Um
JHW37_28710	2552	Um
JHW37_03270	1911	Y
JHW37_03270	1915	Y
JHW37_03270	1917	Y
JHW37_22935	1911	Y
JHW37_22935	1915	Y
JHW37_22935	1917	Y
JHW37_25215	1911	Y
JHW37_25215	1915	Y
JHW37_25215	1917	Y
JHW37_28710	1911	Y
JHW37_28710	1915	Y
JHW37_28710	1917	Y
