amino_acid	enzyme
ala__L_c	JHW37_21800-MONOMER
arg__L_c	JHW37_26990-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	JHW37_21405-MONOMER
cys__L_c	JHW37_16600-MONOMER
gln__L_c	JHW37_16605-MONOMER
glu__L_c	JHW37_09015-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	JHW37_05770-MONOMER
ile__L_c	JHW37_24455-MONOMER
leu__L_c	JHW37_04695-MONOMER
lys__L_c	JHW37_06360-MONOMER
met__L_c	JHW37_07360-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	JHW37_21440-MONOMER
ser__L_c	JHW37_12295-MONOMER
thr__L_c	JHW37_11690-MONOMER
trp__L_c	JHW37_23755-MONOMER
tyr__L_c	generic_tyr_ligase
val__L_c	JHW37_05610-MONOMER
