sigma,complex,genes,name
FIV02_00315-MONOMER,RNAP_FIV0200315MONOMER,FIV02_00315(),putative RNA polymerase sigma factor FecI
FIV02_00330-MONOMER,RNAP_FIV0200330MONOMER,FIV02_00330(),putative RNA polymerase sigma factor FecI
FIV02_00910-MONOMER,RNAP_FIV0200910MONOMER,FIV02_00910(),RNA polymerase sigma factor for flagellar operon
FIV02_04475-MONOMER,RNAP_FIV0204475MONOMER,FIV02_04475(),RNA polymerase sigma-54 factor
FIV02_07355-MONOMER,RNAP_FIV0207355MONOMER,FIV02_07355(),ECF RNA polymerase sigma-E factor
FIV02_07440-MONOMER,RNAP_FIV0207440MONOMER,FIV02_07440(),RNA polymerase sigma factor
FIV02_07845-MONOMER,RNAP_FIV0207845MONOMER,FIV02_07845(),ECF RNA polymerase sigma-E factor
FIV02_09150-MONOMER,RNAP_FIV0209150MONOMER,FIV02_09150(),putative RNA polymerase sigma factor FecI
FIV02_09940-MONOMER,RNAP_FIV0209940MONOMER,FIV02_09940(),ECF RNA polymerase sigma factor RpoE
FIV02_10070-MONOMER,RNAP_FIV0210070MONOMER,FIV02_10070(),putative RNA polymerase sigma factor FecI
FIV02_11050-MONOMER,RNAP_FIV0211050MONOMER,FIV02_11050(),ECF RNA polymerase sigma factor SigK
FIV02_12445-MONOMER,RNAP_FIV0212445MONOMER,FIV02_12445(),ECF RNA polymerase sigma factor SigG
FIV02_13570-MONOMER,RNAP_FIV0213570MONOMER,FIV02_13570(),putative RNA polymerase sigma factor FecI
FIV02_13705-MONOMER,RNAP_FIV0213705MONOMER,FIV02_13705(),putative RNA polymerase sigma factor FecI
FIV02_15160-MONOMER,RNAP_FIV0215160MONOMER,FIV02_15160(),RNA polymerase sigma factor FliA
FIV02_15520-MONOMER,RNAP_FIV0215520MONOMER,FIV02_15520(),putative RNA polymerase sigma factor FecI
FIV02_15580-MONOMER,RNAP_FIV0215580MONOMER,FIV02_15580(),putative RNA polymerase sigma factor FecI
FIV02_16280-MONOMER,RNAP_FIV0216280MONOMER,FIV02_16280(),RNA polymerase sigma factor RpoS
FIV02_21495-MONOMER,RNAP_FIV0221495MONOMER,FIV02_21495(),RNA polymerase sigma factor RpoD
FIV02_22205-MONOMER,RNAP_FIV0222205MONOMER,FIV02_22205(),RNA polymerase sigma factor RpoH
FIV02_24125-MONOMER,RNAP_FIV0224125MONOMER,FIV02_24125(),putative RNA polymerase sigma factor FecI
