complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,KQ248_03975(2) AND KQ248_03970(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,KQ248_13615(2) AND KQ248_13610(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,KQ248_10015(2) AND KQ248_13210(2) AND KQ248_19720(2) AND KQ248_10010(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,KQ248_10095(2) AND KQ248_10090(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,KQ248_19215() AND KQ248_13860(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),KQ248_19215() AND KQ248_19230(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,KQ248_09740(4) AND KQ248_09735(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,KQ248_05770() AND KQ248_05765(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),KQ248_00715() AND KQ248_08010(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),KQ248_14295(1) AND KQ248_14300(1) AND KQ248_14305(1) AND KQ248_14310(1) AND KQ248_14315(1),,
CPLX_ANS-0,Anthranilate synthase,KQ248_01080() AND KQ248_01065(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,KQ248_14035() AND KQ248_01475(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,KQ248_09710() AND KQ248_08920(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,KQ248_14760() AND KQ248_14765(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),KQ248_08180(2) AND KQ248_08185(2) AND KQ248_08170(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,KQ248_06670() AND KQ248_06675() AND KQ248_06680(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,KQ248_09670() AND KQ248_09675() AND KQ248_09680(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),KQ248_08105(1) AND KQ248_08090(2) AND KQ248_08095(1) AND KQ248_08100(1),,
CPLX_CU1Opp-0,Cuprous Oxidase (Cu+1),KQ248_04715() AND KQ248_04705(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,KQ248_09805() AND KQ248_09810() AND KQ248_09815(),,
CPLX_DKMPPD2_PA-0,,KQ248_16910() AND KQ248_16915(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,KQ248_08835(6) AND KQ248_08830(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),KQ248_06020() AND KQ248_06025() AND KQ248_11465(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),KQ248_19895() AND KQ248_21100(),,
CPLX_GALURt2rpp-0,"D-galacturonate transport via proton symport, reversible (periplasm)",KQ248_05225() AND KQ248_05235() AND KQ248_05230(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),KQ248_17330() AND KQ248_17325() AND KQ248_17320() AND KQ248_17315(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,KQ248_01375(4) AND KQ248_01380(4),,
CPLX_HSERTA-0,Homoserine O trans acetylase,KQ248_06525() AND KQ248_06520(),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,KQ248_10700() AND KQ248_10705() AND KQ248_10695(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,KQ248_05910(1) AND KQ248_05895(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),KQ248_10740(1) AND KQ248_10730(1) AND KQ248_10735(1) AND KQ248_10720(1) AND KQ248_10725(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,KQ248_13175(1) AND KQ248_13170(1),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),KQ248_19225() AND KQ248_19210() AND KQ248_19220() AND KQ248_19745(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),KQ248_05800() AND KQ248_05805() AND KQ248_05810() AND KQ248_05815(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,KQ248_04865() AND KQ248_19215(),,
CPLX_MCOATA-1,Malonyl-CoA-ACP transacylase,KQ248_19215() AND KQ248_19225(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,KQ248_07195() AND KQ248_01475(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,KQ248_07195() AND KQ248_08615(),,
CPLX_MPTS-0,Molybdopterin synthase,KQ248_20935() AND KQ248_20930(),,
CPLX_OCBT-0,Ornithine carbamoyltransferase,KQ248_11470() AND KQ248_06480(),,
CPLX_OPHBDC-0,Octaprenyl-hydroxybenzoate decarboxylase,KQ248_01465() AND KQ248_08855(),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),KQ248_14035() AND KQ248_08615(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),KQ248_14035() AND KQ248_05950(),,
CPLX_PC-0,Pyruvate carboxylase,KQ248_02760() AND KQ248_02755(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,KQ248_01170() AND KQ248_20620(),,
CPLX_PHEMEabcpp-0,Protoheme transport via ABC system (periplasm),KQ248_12475() AND KQ248_12480() AND KQ248_12485(),,
CPLX_PIuabcpp-0,"Phosphate transport via ABC system (uptake, periplasm)",KQ248_06225() AND KQ248_06230() AND KQ248_06220() AND KQ248_06215(),,
CPLX_PTRCabcpp-0,Putrescine transport via ABC system (periplasm),KQ248_01115() AND KQ248_01120() AND KQ248_01110() AND KQ248_13685() AND KQ248_01115(),,
CPLX_PTRCabcpp-1,Putrescine transport via ABC system (periplasm),KQ248_05185() AND KQ248_05190() AND KQ248_05195() AND KQ248_05200(),,
CPLX_PTRCabcpp-2,Putrescine transport via ABC system (periplasm),KQ248_05200(1) AND KQ248_05195(1) AND KQ248_05180(1) AND KQ248_05190(2),,
CPLX_PTRCabcpp-3,Putrescine transport via ABC system (periplasm),KQ248_05190() AND KQ248_05195() AND KQ248_05200(),,
