sigma,complex,genes,name
I9X26_00830-MONOMER,RNAP_I9X2600830MONOMER,I9X26_00830(),RNA polymerase sigma factor
I9X26_01955-MONOMER,RNAP_I9X2601955MONOMER,I9X26_01955(),RNA polymerase sigma factor RpoH
I9X26_02440-MONOMER,RNAP_I9X2602440MONOMER,I9X26_02440(),RNA polymerase sigma factor
I9X26_03205-MONOMER,RNAP_I9X2603205MONOMER,I9X26_03205(),RNA polymerase sigma factor RpoD
I9X26_05630-MONOMER,RNAP_I9X2605630MONOMER,I9X26_05630(),sigma-70 family RNA polymerase sigma factor
I9X26_07155-MONOMER,RNAP_I9X2607155MONOMER,I9X26_07155(),RNA polymerase sigma factor RpoS
I9X26_08465-MONOMER,RNAP_I9X2608465MONOMER,I9X26_08465(),RNA polymerase sigma factor
I9X26_09135-MONOMER,RNAP_I9X2609135MONOMER,I9X26_09135(),RNA polymerase sigma factor
I9X26_11165-MONOMER,RNAP_I9X2611165MONOMER,I9X26_11165(),ECF family RNA polymerase sigma factor SbrI
I9X26_12300-MONOMER,RNAP_I9X2612300MONOMER,I9X26_12300(),sigma-70 family RNA polymerase sigma factor
I9X26_15625-MONOMER,RNAP_I9X2615625MONOMER,I9X26_15625(),sigma-70 family RNA polymerase sigma factor
I9X26_18035-MONOMER,RNAP_I9X2618035MONOMER,I9X26_18035(),sigma-70 family RNA polymerase sigma factor
I9X26_18250-MONOMER,RNAP_I9X2618250MONOMER,I9X26_18250(),sigma-70 family RNA polymerase sigma factor
I9X26_18930-MONOMER,RNAP_I9X2618930MONOMER,I9X26_18930(),sigma-70 family RNA polymerase sigma factor
I9X26_20030-MONOMER,RNAP_I9X2620030MONOMER,I9X26_20030(),RNA polymerase sigma factor SigX
I9X26_21675-MONOMER,RNAP_I9X2621675MONOMER,I9X26_21675(),RNA polymerase sigma factor FliA
I9X26_22065-MONOMER,RNAP_I9X2622065MONOMER,I9X26_22065(),RNA polymerase sigma factor
I9X26_22125-MONOMER,RNAP_I9X2622125MONOMER,I9X26_22125(),RNA polymerase sigma factor
I9X26_22380-MONOMER,RNAP_I9X2622380MONOMER,I9X26_22380(),RNA polymerase sigma factor
I9X26_25730-MONOMER,RNAP_I9X2625730MONOMER,I9X26_25730(),RNA polymerase sigma factor RpoE
I9X26_26190-MONOMER,RNAP_I9X2626190MONOMER,I9X26_26190(),RNA polymerase sigma factor VreI
I9X26_27175-MONOMER,RNAP_I9X2627175MONOMER,I9X26_27175(),RNA polymerase factor sigma-54
I9X26_30100-MONOMER,RNAP_I9X2630100MONOMER,I9X26_30100(),sigma-70 family RNA polymerase sigma factor
