amino_acid	enzyme
ala__L_c	I9X26_24870-MONOMER
arg__L_c	I9X26_30905-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	I9X26_24530-MONOMER
cys__L_c	I9X26_19935-MONOMER
gln__L_c	I9X26_19940-MONOMER
glu__L_c	I9X26_09925-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	I9X26_06120-MONOMER
ile__L_c	I9X26_28315-MONOMER
leu__L_c	I9X26_05185-MONOMER
lys__L_c	I9X26_06765-MONOMER
met__L_c	I9X26_08090-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	I9X26_24575-MONOMER
ser__L_c	I9X26_14140-MONOMER
thr__L_c	I9X26_12915-MONOMER
trp__L_c	I9X26_27060-MONOMER
tyr__L_c	generic_tyr_ligase
val__L_c	I9X26_05955-MONOMER
