amino_acid	enzyme
ala__L_c	JQN61_09460-MONOMER
arg__L_c	JQN61_19750-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	JQN61_10325-MONOMER
cys__L_c	JQN61_04810-MONOMER
gln__L_c	JQN61_04815-MONOMER
glu__L_c	JQN61_13960-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	JQN61_12125-MONOMER
ile__L_c	JQN61_03250-MONOMER
leu__L_c	JQN61_18200-MONOMER
lys__L_c	JQN61_15795-MONOMER
met__L_c	JQN61_10925-MONOMER
phe__L_c	CPLX_dummy
pro__L_c	JQN61_10365-MONOMER
ser__L_c	JQN61_07120-MONOMER
thr__L_c	CPLX_dummy
trp__L_c	JQN61_16740-MONOMER
tyr__L_c	JQN61_02360-MONOMER
val__L_c	JQN61_11520-MONOMER
