bnum	position	modification
JQN61_00590	1518	m62A
JQN61_00590	1519	m62A
JQN61_00605	1518	m62A
JQN61_00605	1519	m62A
JQN61_02365	1518	m62A
JQN61_02365	1519	m62A
JQN61_03195	1518	m62A
JQN61_03195	1519	m62A
JQN61_10660	1518	m62A
JQN61_10660	1519	m62A
JQN61_17435	1518	m62A
JQN61_17435	1519	m62A
JQN61_00590	967	m5C
JQN61_00605	967	m5C
JQN61_02365	967	m5C
JQN61_03195	967	m5C
JQN61_10660	967	m5C
JQN61_17435	967	m5C
JQN61_00590	966	m2G
JQN61_00605	966	m2G
JQN61_02365	966	m2G
JQN61_03195	966	m2G
JQN61_10660	966	m2G
JQN61_17435	966	m2G
JQN61_00590	1498	m3U
JQN61_00605	1498	m3U
JQN61_02365	1498	m3U
JQN61_03195	1498	m3U
JQN61_10660	1498	m3U
JQN61_17435	1498	m3U
JQN61_00590	527	m7G
JQN61_00605	527	m7G
JQN61_02365	527	m7G
JQN61_03195	527	m7G
JQN61_10660	527	m7G
JQN61_17435	527	m7G
JQN61_00590	1402	m4Cm
JQN61_00605	1402	m4Cm
JQN61_02365	1402	m4Cm
JQN61_03195	1402	m4Cm
JQN61_10660	1402	m4Cm
JQN61_17435	1402	m4Cm
JQN61_00590	516	Y
JQN61_00605	516	Y
JQN61_02365	516	Y
JQN61_03195	516	Y
JQN61_10660	516	Y
JQN61_17435	516	Y
JQN61_00595	2503	m2A
JQN61_00620	2503	m2A
JQN61_02370	2503	m2A
JQN61_03210	2503	m2A
JQN61_10645	2503	m2A
JQN61_17420	2503	m2A
JQN61_00595	2251	Gm
JQN61_00620	2251	Gm
JQN61_02370	2251	Gm
JQN61_03210	2251	Gm
JQN61_10645	2251	Gm
JQN61_17420	2251	Gm
JQN61_00595	1939	m5U
JQN61_00620	1939	m5U
JQN61_02370	1939	m5U
JQN61_03210	1939	m5U
JQN61_10645	1939	m5U
JQN61_17420	1939	m5U
JQN61_00595	2498	Cm
JQN61_00620	2498	Cm
JQN61_02370	2498	Cm
JQN61_03210	2498	Cm
JQN61_10645	2498	Cm
JQN61_17420	2498	Cm
JQN61_00595	745	m1G
JQN61_00620	745	m1G
JQN61_02370	745	m1G
JQN61_03210	745	m1G
JQN61_10645	745	m1G
JQN61_17420	745	m1G
JQN61_00595	1835	m2G
JQN61_00620	1835	m2G
JQN61_02370	1835	m2G
JQN61_03210	1835	m2G
JQN61_10645	1835	m2G
JQN61_17420	1835	m2G
JQN61_00595	1962	m5C
JQN61_00620	1962	m5C
JQN61_02370	1962	m5C
JQN61_03210	1962	m5C
JQN61_10645	1962	m5C
JQN61_17420	1962	m5C
JQN61_00595	1618	m6A
JQN61_00620	1618	m6A
JQN61_02370	1618	m6A
JQN61_03210	1618	m6A
JQN61_10645	1618	m6A
JQN61_17420	1618	m6A
JQN61_00595	2069	m7G
JQN61_00620	2069	m7G
JQN61_02370	2069	m7G
JQN61_03210	2069	m7G
JQN61_10645	2069	m7G
JQN61_17420	2069	m7G
JQN61_00595	2552	Um
JQN61_00620	2552	Um
JQN61_02370	2552	Um
JQN61_03210	2552	Um
JQN61_10645	2552	Um
JQN61_17420	2552	Um
JQN61_00595	1915	m3Y
JQN61_00620	1915	m3Y
JQN61_02370	1915	m3Y
JQN61_03210	1915	m3Y
JQN61_10645	1915	m3Y
JQN61_17420	1915	m3Y
JQN61_00595	2457	Y
JQN61_00620	2457	Y
JQN61_02370	2457	Y
JQN61_03210	2457	Y
JQN61_10645	2457	Y
JQN61_17420	2457	Y
