bnum	position	modification
TK06_17370	1518	m62A
TK06_17370	1519	m62A
TK06_20200	1518	m62A
TK06_20200	1519	m62A
TK06_24150	1518	m62A
TK06_24150	1519	m62A
TK06_25850	1518	m62A
TK06_25850	1519	m62A
TK06_30335	1518	m62A
TK06_30335	1519	m62A
TK06_17370	967	m5C
TK06_20200	967	m5C
TK06_24150	967	m5C
TK06_25850	967	m5C
TK06_30335	967	m5C
TK06_17370	966	m2G
TK06_20200	966	m2G
TK06_24150	966	m2G
TK06_25850	966	m2G
TK06_30335	966	m2G
TK06_17370	1498	m3U
TK06_20200	1498	m3U
TK06_24150	1498	m3U
TK06_25850	1498	m3U
TK06_30335	1498	m3U
TK06_17370	527	m7G
TK06_20200	527	m7G
TK06_24150	527	m7G
TK06_25850	527	m7G
TK06_30335	527	m7G
TK06_17370	1402	m4Cm
TK06_20200	1402	m4Cm
TK06_24150	1402	m4Cm
TK06_25850	1402	m4Cm
TK06_30335	1402	m4Cm
TK06_17370	516	Y
TK06_20200	516	Y
TK06_24150	516	Y
TK06_25850	516	Y
TK06_30335	516	Y
TK06_17355	2503	m2A
TK06_20185	2503	m2A
TK06_24165	2503	m2A
TK06_25865	2503	m2A
TK06_30350	2503	m2A
TK06_17355	2251	Gm
TK06_20185	2251	Gm
TK06_24165	2251	Gm
TK06_25865	2251	Gm
TK06_30350	2251	Gm
TK06_17355	1939	m5U
TK06_20185	1939	m5U
TK06_24165	1939	m5U
TK06_25865	1939	m5U
TK06_30350	1939	m5U
TK06_17355	2498	Cm
TK06_20185	2498	Cm
TK06_24165	2498	Cm
TK06_25865	2498	Cm
TK06_30350	2498	Cm
TK06_17355	745	m1G
TK06_20185	745	m1G
TK06_24165	745	m1G
TK06_25865	745	m1G
TK06_30350	745	m1G
TK06_17355	1835	m2G
TK06_20185	1835	m2G
TK06_24165	1835	m2G
TK06_25865	1835	m2G
TK06_30350	1835	m2G
TK06_17355	1962	m5C
TK06_20185	1962	m5C
TK06_24165	1962	m5C
TK06_25865	1962	m5C
TK06_30350	1962	m5C
TK06_17355	1618	m6A
TK06_20185	1618	m6A
TK06_24165	1618	m6A
TK06_25865	1618	m6A
TK06_30350	1618	m6A
TK06_17355	2069	m7G
TK06_20185	2069	m7G
TK06_24165	2069	m7G
TK06_25865	2069	m7G
TK06_30350	2069	m7G
TK06_17355	2552	Um
TK06_20185	2552	Um
TK06_24165	2552	Um
TK06_25865	2552	Um
TK06_30350	2552	Um
TK06_17355	1911	Y
TK06_17355	1915	Y
TK06_17355	1917	Y
TK06_20185	1911	Y
TK06_20185	1915	Y
TK06_20185	1917	Y
TK06_24165	1911	Y
TK06_24165	1915	Y
TK06_24165	1917	Y
TK06_25865	1911	Y
TK06_25865	1915	Y
TK06_25865	1917	Y
TK06_30350	1911	Y
TK06_30350	1915	Y
TK06_30350	1917	Y
