sigma,complex,genes,name
TK06_00100-MONOMER,RNAP_TK0600100MONOMER,TK06_00100(),RNA polymerase subunit sigma
TK06_00140-MONOMER,RNAP_TK0600140MONOMER,TK06_00140(),RNA polymerase subunit sigma-24
TK06_02000-MONOMER,RNAP_TK0602000MONOMER,TK06_02000(),RNA polymerase subunit sigma-24
TK06_03175-MONOMER,RNAP_TK0603175MONOMER,TK06_03175(),RNA polymerase subunit sigma-24
TK06_05690-MONOMER,RNAP_TK0605690MONOMER,TK06_05690(),RNA polymerase subunit sigma
TK06_08445-MONOMER,RNAP_TK0608445MONOMER,TK06_08445(),RNA polymerase subunit sigma
TK06_10605-MONOMER,RNAP_TK0610605MONOMER,TK06_10605(),RNA polymerase subunit sigma
TK06_11100-MONOMER,RNAP_TK0611100MONOMER,TK06_11100(),RNA polymerase subunit sigma-24
TK06_12040-MONOMER,RNAP_TK0612040MONOMER,TK06_12040(),RNA polymerase subunit sigma
TK06_12140-MONOMER,RNAP_TK0612140MONOMER,TK06_12140(),RNA polymerase subunit sigma-70
TK06_12950-MONOMER,RNAP_TK0612950MONOMER,TK06_12950(),RNA polymerase sigma factor FliA
TK06_13530-MONOMER,RNAP_TK0613530MONOMER,TK06_13530(),RNA polymerase subunit sigma-24
TK06_13855-MONOMER,RNAP_TK0613855MONOMER,TK06_13855(),RNA polymerase subunit sigma
TK06_13860-MONOMER,RNAP_TK0613860MONOMER,TK06_13860(),RNA polymerase subunit sigma
TK06_13865-MONOMER,RNAP_TK0613865MONOMER,TK06_13865(),RNA polymerase sigma factor RpoE
TK06_14330-MONOMER,RNAP_TK0614330MONOMER,TK06_14330(),RNA polymerase subunit sigma-24
TK06_14545-MONOMER,RNAP_TK0614545MONOMER,TK06_14545(),RNA polymerase subunit sigma-24
TK06_15200-MONOMER,RNAP_TK0615200MONOMER,TK06_15200(),RNA polymerase sigma factor RpoS
TK06_16320-MONOMER,RNAP_TK0616320MONOMER,TK06_16320(),RNA polymerase factor sigma-54
TK06_17090-MONOMER,RNAP_TK0617090MONOMER,TK06_17090(),RNA polymerase subunit sigma
TK06_19970-MONOMER,RNAP_TK0619970MONOMER,TK06_19970(),RNA polymerase subunit sigma
TK06_20105-MONOMER,RNAP_TK0620105MONOMER,TK06_20105(),RNA polymerase subunit sigma
TK06_22665-MONOMER,RNAP_TK0622665MONOMER,TK06_22665(),RNA polymerase subunit sigma
TK06_22950-MONOMER,RNAP_TK0622950MONOMER,TK06_22950(),RNA polymerase factor sigma-32
TK06_23690-MONOMER,RNAP_TK0623690MONOMER,TK06_23690(),RNA polymerase subunit sigma
TK06_23900-MONOMER,RNAP_TK0623900MONOMER,TK06_23900(),RNA polymerase sigma factor RpoD
TK06_26485-MONOMER,RNAP_TK0626485MONOMER,TK06_26485(),RNA polymerase subunit sigma
