Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
HXW90_21105-MONOMER	Periplasm	HXW90_21105()	Periplasm	s
HXW90_02415-MONOMER	Outer_Membrane	HXW90_02415()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	HXW90_02415()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	HXW90_02415()	Outer_Membrane	sb
HXW90_22370-MONOMER	Inner_Membrane	HXW90_22370()	Inner_Membrane	r
HXW90_06720-MONOMER	Inner_Membrane	HXW90_06720()	Inner_Membrane	r
HXW90_05320-MONOMER	Inner_Membrane	HXW90_05320()	Inner_Membrane	r
HXW90_12505-MONOMER	Inner_Membrane	HXW90_12505()	Inner_Membrane	r
HXW90_05705-MONOMER	Periplasm	HXW90_05705()	Periplasm	s
HXW90_30855-MONOMER	Inner_Membrane	HXW90_30855()	Inner_Membrane	r
HXW90_07250-MONOMER	Inner_Membrane	HXW90_07250()	Inner_Membrane	r
HXW90_24380-MONOMER	Inner_Membrane	HXW90_24380()	Periplasm	s
CPLX_ARGabcpp-0	Inner_Membrane	HXW90_24380()	Periplasm	s
HXW90_07245-MONOMER	Inner_Membrane	HXW90_07245()	Inner_Membrane	r
HXW90_23025-MONOMER	Inner_Membrane	HXW90_23025()	Inner_Membrane	r
HXW90_26165-MONOMER	Inner_Membrane	HXW90_26165()	Inner_Membrane	r
HXW90_26175-MONOMER	Inner_Membrane	HXW90_26175()	Inner_Membrane	p
HXW90_26170-MONOMER	Inner_Membrane	HXW90_26170()	Inner_Membrane	r
HXW90_26180-MONOMER	Inner_Membrane	HXW90_26180()	Inner_Membrane	p
HXW90_08355-MONOMER	Periplasm	HXW90_08355()	Periplasm	s
HXW90_01925-MONOMER	Inner_Membrane	HXW90_01925()	Inner_Membrane	r
HXW90_25605-MONOMER	Inner_Membrane	HXW90_25605()	Inner_Membrane	r
CPLX_ACGAptspp-0	Inner_Membrane	HXW90_25605()	Inner_Membrane	r
HXW90_01010-MONOMER	Inner_Membrane	HXW90_01010()	Periplasm	s
