bnum	position	modification
D3880_02675	1518	m62A
D3880_02675	1519	m62A
D3880_04525	1518	m62A
D3880_04525	1519	m62A
D3880_12560	1518	m62A
D3880_12560	1519	m62A
D3880_12585	1518	m62A
D3880_12585	1519	m62A
D3880_22170	1518	m62A
D3880_22170	1519	m62A
D3880_02675	967	m5C
D3880_04525	967	m5C
D3880_12560	967	m5C
D3880_12585	967	m5C
D3880_22170	967	m5C
D3880_02675	966	m2G
D3880_04525	966	m2G
D3880_12560	966	m2G
D3880_12585	966	m2G
D3880_22170	966	m2G
D3880_02675	1498	m3U
D3880_04525	1498	m3U
D3880_12560	1498	m3U
D3880_12585	1498	m3U
D3880_22170	1498	m3U
D3880_02675	527	m7G
D3880_04525	527	m7G
D3880_12560	527	m7G
D3880_12585	527	m7G
D3880_22170	527	m7G
D3880_02675	1402	m4Cm
D3880_04525	1402	m4Cm
D3880_12560	1402	m4Cm
D3880_12585	1402	m4Cm
D3880_22170	1402	m4Cm
D3880_02675	516	Y
D3880_04525	516	Y
D3880_12560	516	Y
D3880_12585	516	Y
D3880_22170	516	Y
D3880_02690	2503	m2A
D3880_04540	2503	m2A
D3880_12545	2503	m2A
D3880_22155	2503	m2A
D3880_02690	2251	Gm
D3880_04540	2251	Gm
D3880_12545	2251	Gm
D3880_22155	2251	Gm
D3880_02690	1939	m5U
D3880_04540	1939	m5U
D3880_12545	1939	m5U
D3880_22155	1939	m5U
D3880_02690	2498	Cm
D3880_04540	2498	Cm
D3880_12545	2498	Cm
D3880_22155	2498	Cm
D3880_02690	745	m1G
D3880_04540	745	m1G
D3880_12545	745	m1G
D3880_22155	745	m1G
D3880_02690	1835	m2G
D3880_04540	1835	m2G
D3880_12545	1835	m2G
D3880_22155	1835	m2G
D3880_02690	1962	m5C
D3880_04540	1962	m5C
D3880_12545	1962	m5C
D3880_22155	1962	m5C
D3880_02690	1618	m6A
D3880_04540	1618	m6A
D3880_12545	1618	m6A
D3880_22155	1618	m6A
D3880_02690	2069	m7G
D3880_04540	2069	m7G
D3880_12545	2069	m7G
D3880_22155	2069	m7G
D3880_02690	2552	Um
D3880_04540	2552	Um
D3880_12545	2552	Um
D3880_22155	2552	Um
D3880_02690	1911	Y
D3880_02690	1915	Y
D3880_02690	1917	Y
D3880_04540	1911	Y
D3880_04540	1915	Y
D3880_04540	1917	Y
D3880_12545	1911	Y
D3880_12545	1915	Y
D3880_12545	1917	Y
D3880_22155	1911	Y
D3880_22155	1915	Y
D3880_22155	1917	Y
