Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
DCC84_11050-MONOMER	Periplasm	DCC84_11050()	Periplasm	s
DCC84_02580-MONOMER	Outer_Membrane	DCC84_02580()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	DCC84_02580()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	DCC84_02580()	Outer_Membrane	sb
DCC84_23675-MONOMER	Inner_Membrane	DCC84_23675()	Inner_Membrane	r
DCC84_27410-MONOMER	Inner_Membrane	DCC84_27410()	Inner_Membrane	r
DCC84_28495-MONOMER	Inner_Membrane	DCC84_28495()	Inner_Membrane	r
DCC84_30395-MONOMER	Periplasm	DCC84_30395()	Periplasm	s
DCC84_20500-MONOMER	Inner_Membrane	DCC84_20500()	Inner_Membrane	r
DCC84_28085-MONOMER	Periplasm	DCC84_28085()	Periplasm	s
DCC84_33320-MONOMER	Inner_Membrane	DCC84_33320()	Inner_Membrane	r
DCC84_06450-MONOMER	Inner_Membrane	DCC84_06450()	Inner_Membrane	r
DCC84_26010-MONOMER	Inner_Membrane	DCC84_26010()	Periplasm	s
CPLX_ARGabcpp-0	Inner_Membrane	DCC84_26010()	Periplasm	s
DCC84_06445-MONOMER	Inner_Membrane	DCC84_06445()	Inner_Membrane	r
DCC84_07930-MONOMER	Inner_Membrane	DCC84_07930()	Inner_Membrane	r
DCC84_28035-MONOMER	Inner_Membrane	DCC84_28035()	Inner_Membrane	r
DCC84_28045-MONOMER	Inner_Membrane	DCC84_28045()	Inner_Membrane	p
DCC84_28040-MONOMER	Inner_Membrane	DCC84_28040()	Inner_Membrane	r
DCC84_28050-MONOMER	Inner_Membrane	DCC84_28050()	Inner_Membrane	p
DCC84_08720-MONOMER	Periplasm	DCC84_08720()	Periplasm	s
DCC84_02070-MONOMER	Inner_Membrane	DCC84_02070()	Inner_Membrane	r
DCC84_05725-MONOMER	Inner_Membrane	DCC84_05725()	Inner_Membrane	r
CPLX_ACGAptspp-0	Inner_Membrane	DCC84_05725()	Inner_Membrane	r
DCC84_00945-MONOMER	Inner_Membrane	DCC84_00945()	Periplasm	s
