Reaction	Complexes
2AGPE140tipp	DCC84_24030-MONOMER
2AGPE141tipp	DCC84_24030-MONOMER
2AGPG140tipp	DCC84_24030-MONOMER
2AGPG141tipp	DCC84_24030-MONOMER
2DHGLCK	DCC84_19300-MONOMER
2DHGLCNkt_tpp	DCC84_19305-MONOMER
2HH24DDH1	DCC84_12410-MONOMER
2MAHMP	DCC84_21545-MONOMER
3AMACHYD	DCC84_15440-MONOMER
3HAACOAT100	DCC84_31500-MONOMER
3HAACOAT120	DCC84_31500-MONOMER
3HAACOAT121	DCC84_31500-MONOMER
3HAACOAT140	DCC84_31500-MONOMER
3HAACOAT141	DCC84_31500-MONOMER
3HAACOAT60	DCC84_31500-MONOMER
3HAACOAT80	DCC84_31500-MONOMER
3HAD100	DCC84_06295-MONOMER
3HAD120	DCC84_06295-MONOMER
3HAD121	DCC84_06295-MONOMER
3HAD140	DCC84_06295-MONOMER
3HAD141	DCC84_06295-MONOMER
3HAD160	DCC84_06295-MONOMER
3HAD161	DCC84_06295-MONOMER
3HAD180	DCC84_06295-MONOMER
3HAD181	DCC84_06295-MONOMER
3HAD40	DCC84_06295-MONOMER
3HAD60	DCC84_06295-MONOMER
3HAD80	DCC84_06295-MONOMER
3HOXPACt2pp	DCC84_12415-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	DCC84_25590-MONOMER
3OAR120	DCC84_25590-MONOMER
3OAR121	DCC84_25590-MONOMER
3OAR140	DCC84_25590-MONOMER
3OAR141	DCC84_25590-MONOMER
3OAR160	DCC84_25590-MONOMER
3OAR161	DCC84_25590-MONOMER
3OAR180	DCC84_25590-MONOMER
3OAR181	DCC84_25590-MONOMER
3OAR40	DCC84_25590-MONOMER
3OAR60	DCC84_25590-MONOMER
3OAR80	DCC84_25590-MONOMER
3OAS100	DCC84_25580-MONOMER OR DCC84_24285-MONOMER OR DCC84_19545-MONOMER
3OAS120	DCC84_25580-MONOMER OR DCC84_24285-MONOMER OR DCC84_19545-MONOMER
3OAS121	DCC84_24285-MONOMER
3OAS140	DCC84_25580-MONOMER OR DCC84_24285-MONOMER OR DCC84_19545-MONOMER
3OAS141	DCC84_24285-MONOMER
3OAS160	DCC84_25580-MONOMER OR DCC84_24285-MONOMER OR DCC84_19545-MONOMER
3OAS161	DCC84_24285-MONOMER
3OAS180	DCC84_24285-MONOMER
3OAS181	DCC84_24285-MONOMER
3OAS60	DCC84_25580-MONOMER OR DCC84_24285-MONOMER OR DCC84_19545-MONOMER
