amino_acid	enzyme
ala__L_c	DCC84_25930-MONOMER
arg__L_c	DCC84_02140-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	DCC84_26965-MONOMER
cys__L_c	DCC84_22440-MONOMER
gln__L_c	DCC84_22445-MONOMER
glu__L_c	DCC84_10595-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	DCC84_05600-MONOMER
ile__L_c	DCC84_29405-MONOMER
leu__L_c	DCC84_29915-MONOMER
lys__L_c	DCC84_06025-MONOMER
met__L_c	DCC84_27605-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	generic_pro_ligase
ser__L_c	DCC84_21470-MONOMER
thr__L_c	DCC84_11115-MONOMER
trp__L_c	DCC84_29035-MONOMER
tyr__L_c	DCC84_30725-MONOMER
val__L_c	generic_val_ligase
