sigma,complex,genes,name
ICJ54_00315-MONOMER,RNAP_ICJ5400315MONOMER,ICJ54_00315(),RNA polymerase sigma factor RpoH
ICJ54_02590-MONOMER,RNAP_ICJ5402590MONOMER,ICJ54_02590(),sigma-70 family RNA polymerase sigma factor
ICJ54_03705-MONOMER,RNAP_ICJ5403705MONOMER,ICJ54_03705(),RNA polymerase sigma factor
ICJ54_03880-MONOMER,RNAP_ICJ5403880MONOMER,ICJ54_03880(),RNA polymerase sigma factor RpoD
ICJ54_06535-MONOMER,RNAP_ICJ5406535MONOMER,ICJ54_06535(),sigma-70 family RNA polymerase sigma factor
ICJ54_06775-MONOMER,RNAP_ICJ5406775MONOMER,ICJ54_06775(),RNA polymerase factor sigma-54
ICJ54_07035-MONOMER,RNAP_ICJ5407035MONOMER,ICJ54_07035(),sigma-70 family RNA polymerase sigma factor
ICJ54_07930-MONOMER,RNAP_ICJ5407930MONOMER,ICJ54_07930(),RNA polymerase sigma factor RpoS
ICJ54_09945-MONOMER,RNAP_ICJ5409945MONOMER,ICJ54_09945(),RNA polymerase sigma factor SigX
ICJ54_10445-MONOMER,RNAP_ICJ5410445MONOMER,ICJ54_10445(),sigma-70 family RNA polymerase sigma factor
ICJ54_12915-MONOMER,RNAP_ICJ5412915MONOMER,ICJ54_12915(),RNA polymerase sigma factor
ICJ54_13630-MONOMER,RNAP_ICJ5413630MONOMER,ICJ54_13630(),sigma-70 family RNA polymerase sigma factor
ICJ54_16830-MONOMER,RNAP_ICJ5416830MONOMER,ICJ54_16830(),sigma-70 family RNA polymerase sigma factor
ICJ54_19270-MONOMER,RNAP_ICJ5419270MONOMER,ICJ54_19270(),sigma-70 family RNA polymerase sigma factor
ICJ54_19400-MONOMER,RNAP_ICJ5419400MONOMER,ICJ54_19400(),RNA polymerase factor sigma-70
ICJ54_19935-MONOMER,RNAP_ICJ5419935MONOMER,ICJ54_19935(),RNA polymerase sigma factor FliA
ICJ54_20755-MONOMER,RNAP_ICJ5420755MONOMER,ICJ54_20755(),RNA polymerase sigma factor
ICJ54_22170-MONOMER,RNAP_ICJ5422170MONOMER,ICJ54_22170(),RNA polymerase subunit sigma
ICJ54_22175-MONOMER,RNAP_ICJ5422175MONOMER,ICJ54_22175(),RNA polymerase sigma factor RpoE
ICJ54_23240-MONOMER,RNAP_ICJ5423240MONOMER,ICJ54_23240(),sigma-70 family RNA polymerase sigma factor
