amino_acid	enzyme
ala__L_c	KCX70_14075-MONOMER
arg__L_c	KCX70_02420-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	KCX70_14860-MONOMER
cys__L_c	KCX70_12405-MONOMER
gln__L_c	KCX70_12410-MONOMER
glu__L_c	KCX70_14430-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	KCX70_06340-MONOMER
ile__L_c	KCX70_03745-MONOMER
leu__L_c	KCX70_19225-MONOMER
lys__L_c	KCX70_07300-MONOMER
met__L_c	KCX70_16410-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	KCX70_14890-MONOMER
ser__L_c	KCX70_10480-MONOMER
thr__L_c	KCX70_09540-MONOMER
trp__L_c	generic_trp_ligase
tyr__L_c	KCX70_02915-MONOMER
val__L_c	KCX70_06185-MONOMER
