bnum	position	modification
KCX70_02920	1518	m62A
KCX70_02920	1519	m62A
KCX70_05150	1518	m62A
KCX70_05150	1519	m62A
KCX70_13045	1518	m62A
KCX70_13045	1519	m62A
KCX70_19980	1518	m62A
KCX70_19980	1519	m62A
KCX70_02920	967	m5C
KCX70_05150	967	m5C
KCX70_13045	967	m5C
KCX70_19980	967	m5C
KCX70_02920	966	m2G
KCX70_05150	966	m2G
KCX70_13045	966	m2G
KCX70_19980	966	m2G
KCX70_02920	1498	m3U
KCX70_05150	1498	m3U
KCX70_13045	1498	m3U
KCX70_19980	1498	m3U
KCX70_02920	527	m7G
KCX70_05150	527	m7G
KCX70_13045	527	m7G
KCX70_19980	527	m7G
KCX70_02920	1402	m4Cm
KCX70_05150	1402	m4Cm
KCX70_13045	1402	m4Cm
KCX70_19980	1402	m4Cm
KCX70_02920	516	Y
KCX70_05150	516	Y
KCX70_13045	516	Y
KCX70_19980	516	Y
KCX70_02935	2503	m2A
KCX70_05165	2503	m2A
KCX70_13030	2503	m2A
KCX70_19965	2503	m2A
KCX70_02935	2251	Gm
KCX70_05165	2251	Gm
KCX70_13030	2251	Gm
KCX70_19965	2251	Gm
KCX70_02935	1939	m5U
KCX70_05165	1939	m5U
KCX70_13030	1939	m5U
KCX70_19965	1939	m5U
KCX70_02935	2498	Cm
KCX70_05165	2498	Cm
KCX70_13030	2498	Cm
KCX70_19965	2498	Cm
KCX70_02935	745	m1G
KCX70_05165	745	m1G
KCX70_13030	745	m1G
KCX70_19965	745	m1G
KCX70_02935	1835	m2G
KCX70_05165	1835	m2G
KCX70_13030	1835	m2G
KCX70_19965	1835	m2G
KCX70_02935	1962	m5C
KCX70_05165	1962	m5C
KCX70_13030	1962	m5C
KCX70_19965	1962	m5C
KCX70_02935	1618	m6A
KCX70_05165	1618	m6A
KCX70_13030	1618	m6A
KCX70_19965	1618	m6A
KCX70_02935	2069	m7G
KCX70_05165	2069	m7G
KCX70_13030	2069	m7G
KCX70_19965	2069	m7G
KCX70_02935	2552	Um
KCX70_05165	2552	Um
KCX70_13030	2552	Um
KCX70_19965	2552	Um
KCX70_02935	1911	Y
KCX70_02935	1915	Y
KCX70_02935	1917	Y
KCX70_05165	1911	Y
KCX70_05165	1915	Y
KCX70_05165	1917	Y
KCX70_13030	1911	Y
KCX70_13030	1915	Y
KCX70_13030	1917	Y
KCX70_19965	1911	Y
KCX70_19965	1915	Y
KCX70_19965	1917	Y
