bnum	position	modification
AO356_07945	1518	m62A
AO356_07945	1519	m62A
AO356_10840	1518	m62A
AO356_10840	1519	m62A
AO356_14515	1518	m62A
AO356_14515	1519	m62A
AO356_16200	1518	m62A
AO356_16200	1519	m62A
AO356_20985	1518	m62A
AO356_20985	1519	m62A
AO356_07945	967	m5C
AO356_10840	967	m5C
AO356_14515	967	m5C
AO356_16200	967	m5C
AO356_20985	967	m5C
AO356_07945	966	m2G
AO356_10840	966	m2G
AO356_14515	966	m2G
AO356_16200	966	m2G
AO356_20985	966	m2G
AO356_07945	1498	m3U
AO356_10840	1498	m3U
AO356_14515	1498	m3U
AO356_16200	1498	m3U
AO356_20985	1498	m3U
AO356_07945	527	m7G
AO356_10840	527	m7G
AO356_14515	527	m7G
AO356_16200	527	m7G
AO356_20985	527	m7G
AO356_07945	1402	m4Cm
AO356_10840	1402	m4Cm
AO356_14515	1402	m4Cm
AO356_16200	1402	m4Cm
AO356_20985	1402	m4Cm
AO356_07945	516	Y
AO356_10840	516	Y
AO356_14515	516	Y
AO356_16200	516	Y
AO356_20985	516	Y
AO356_07930	2503	m2A
AO356_10825	2503	m2A
AO356_14530	2503	m2A
AO356_16215	2503	m2A
AO356_21000	2503	m2A
AO356_07930	2251	Gm
AO356_10825	2251	Gm
AO356_14530	2251	Gm
AO356_16215	2251	Gm
AO356_21000	2251	Gm
AO356_07930	1939	m5U
AO356_10825	1939	m5U
AO356_14530	1939	m5U
AO356_16215	1939	m5U
AO356_21000	1939	m5U
AO356_07930	2498	Cm
AO356_10825	2498	Cm
AO356_14530	2498	Cm
AO356_16215	2498	Cm
AO356_21000	2498	Cm
AO356_07930	745	m1G
AO356_10825	745	m1G
AO356_14530	745	m1G
AO356_16215	745	m1G
AO356_21000	745	m1G
AO356_07930	1835	m2G
AO356_10825	1835	m2G
AO356_14530	1835	m2G
AO356_16215	1835	m2G
AO356_21000	1835	m2G
AO356_07930	1962	m5C
AO356_10825	1962	m5C
AO356_14530	1962	m5C
AO356_16215	1962	m5C
AO356_21000	1962	m5C
AO356_07930	1618	m6A
AO356_10825	1618	m6A
AO356_14530	1618	m6A
AO356_16215	1618	m6A
AO356_21000	1618	m6A
AO356_07930	2069	m7G
AO356_10825	2069	m7G
AO356_14530	2069	m7G
AO356_16215	2069	m7G
AO356_21000	2069	m7G
AO356_07930	2552	Um
AO356_10825	2552	Um
AO356_14530	2552	Um
AO356_16215	2552	Um
AO356_21000	2552	Um
AO356_07930	1911	Y
AO356_07930	1915	Y
AO356_07930	1917	Y
AO356_10825	1911	Y
AO356_10825	1915	Y
AO356_10825	1917	Y
AO356_14530	1911	Y
AO356_14530	1915	Y
AO356_14530	1917	Y
AO356_16215	1911	Y
AO356_16215	1915	Y
AO356_16215	1917	Y
AO356_21000	1911	Y
AO356_21000	1915	Y
AO356_21000	1917	Y
