complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,A0T30_02065(2) AND A0T30_02070(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,A0T30_13635(2) AND A0T30_13640(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,A0T30_06485(2) AND A0T30_09470(2) AND A0T30_07410(2) AND A0T30_06480(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,A0T30_06025(2) AND A0T30_06020(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,A0T30_14270() AND A0T30_12955(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),A0T30_14270() AND A0T30_14285(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,A0T30_05715(4) AND A0T30_05710(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,A0T30_01240() AND A0T30_01245(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),A0T30_19645() AND A0T30_06420(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),A0T30_05440() AND A0T30_05435() AND A0T30_05430() AND A0T30_05425() AND A0T30_05420(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),A0T30_05420(1) AND A0T30_05425(1) AND A0T30_05430(1) AND A0T30_05435(1) AND A0T30_05445(1),,
CPLX_ANS-0,Anthranilate synthase,A0T30_20010() AND A0T30_20005(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,A0T30_12215() AND A0T30_03195(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),A0T30_14695() AND A0T30_14705() AND A0T30_14710() AND A0T30_14715(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),A0T30_01290() AND A0T30_01295() AND A0T30_01300() AND A0T30_01305(),,
CPLX_AST-0,Arginine succinyltransferase,A0T30_14675() AND A0T30_14680(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,A0T30_05685() AND A0T30_04930(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),A0T30_01935() AND A0T30_01955() AND A0T30_01920() AND A0T30_01925() AND A0T30_01950() AND A0T30_01945() AND A0T30_01930() AND A0T30_01940() AND A0T30_01960(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),A0T30_02925(2) AND A0T30_02930(2) AND A0T30_02915(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,A0T30_19095() AND A0T30_19090() AND A0T30_19085(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,A0T30_05650() AND A0T30_05655() AND A0T30_05660(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),A0T30_02815(1) AND A0T30_02800(2) AND A0T30_02805(1) AND A0T30_02810(1),,
CPLX_CRO4abcpp-1,Chromate transport via ABC system (periplasm),A0T30_02800() AND A0T30_02810() AND A0T30_02805() AND A0T30_02900(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,A0T30_05765() AND A0T30_05770() AND A0T30_05775(),,
CPLX_DKMPPD2_PA-0,,A0T30_12765() AND A0T30_12770(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,A0T30_06395(6) AND A0T30_06400(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),A0T30_03295() AND A0T30_03300() AND A0T30_15650(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),A0T30_16525() AND A0T30_16655(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,A0T30_04410(4) AND A0T30_04405(4),,
CPLX_HSERTA-0,Homoserine O trans acetylase,A0T30_03460() AND A0T30_03455(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,A0T30_00130(1) AND A0T30_00145(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),A0T30_09310(1) AND A0T30_09300(1) AND A0T30_09305(1) AND A0T30_09290(1) AND A0T30_09295(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,A0T30_09435(1) AND A0T30_09430(1),,
CPLX_Kabcpp-0,Potassium ABC transporter (periplasm),A0T30_12045() AND A0T30_12050() AND A0T30_12055() AND A0T30_12040(),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),A0T30_14280() AND A0T30_14265() AND A0T30_14275() AND A0T30_07385(),,
CPLX_Kt3pp-0,Potassium transport out via proton antiport (periplasm),A0T30_09170() AND A0T30_09175() AND A0T30_09180() AND A0T30_09185() AND A0T30_09190() AND A0T30_09195(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),A0T30_00245() AND A0T30_00240() AND A0T30_00235() AND A0T30_00230(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,A0T30_14270() AND A0T30_14280(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,A0T30_04660() AND A0T30_03195(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,A0T30_13855() AND A0T30_03195(),,
CPLX_METSOXR1-2,L-methionine-S-oxide reductase,A0T30_04660() AND A0T30_19505(),,
CPLX_METSOXR1-3,L-methionine-S-oxide reductase,A0T30_13855() AND A0T30_19505(),,
CPLX_MOBDabcpp-0,Molybdate transport via ABC system (periplasm),A0T30_15480(2) AND A0T30_15485(2) AND A0T30_15475(1),,
CPLX_MPTG-0,Murein polymerizing transglycosylase,A0T30_06000() AND A0T30_05860() AND A0T30_18855(),,
CPLX_MPTG-1,Murein polymerizing transglycosylase,A0T30_04360() AND A0T30_05860() AND A0T30_18855(),,
CPLX_MPTG-2,Murein polymerizing transglycosylase,A0T30_00375() AND A0T30_05860() AND A0T30_18855(),,
CPLX_MPTS-0,Molybdopterin synthase,A0T30_06920() AND A0T30_06925(),,
CPLX_NADH16pp-0,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),A0T30_13280(1) AND A0T30_13305() AND A0T30_13300() AND A0T30_13335() AND A0T30_13320() AND A0T30_13295() AND A0T30_13325() AND A0T30_13315() AND A0T30_13290() AND A0T30_13330() AND A0T30_13310() AND A0T30_13340() AND A0T30_13285(),,
CPLX_OCBT-0,Ornithine carbamoyltransferase,A0T30_15645() AND A0T30_00280(),,
CPLX_OPHBDC-0,Octaprenyl-hydroxybenzoate decarboxylase,A0T30_03205() AND A0T30_04985(),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),A0T30_12215() AND A0T30_19505(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),A0T30_12215() AND A0T30_00055(),,
CPLX_PC-0,Pyruvate carboxylase,A0T30_01440() AND A0T30_01435(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,A0T30_20090() AND A0T30_08250(),,
CPLX_PHEMEabcpp-0,Protoheme transport via ABC system (periplasm),A0T30_11525() AND A0T30_11530() AND A0T30_11535(),,
CPLX_PIuabcpp-0,"Phosphate transport via ABC system (uptake, periplasm)",A0T30_01200() AND A0T30_01195() AND A0T30_01205() AND A0T30_01210(),,
CPLX_PTRCabcpp-0,Putrescine transport via ABC system (periplasm),A0T30_20045() AND A0T30_20040() AND A0T30_20030() AND A0T30_20025() AND A0T30_20035(),,
CPLX_PTRCabcpp-1,Putrescine transport via ABC system (periplasm),A0T30_03030() AND A0T30_03035() AND A0T30_03040() AND A0T30_03045(),,
CPLX_PTRCabcpp-2,Putrescine transport via ABC system (periplasm),A0T30_03045(1) AND A0T30_03040(1) AND A0T30_03025(1) AND A0T30_03035(2),,
CPLX_PTRCabcpp-3,Putrescine transport via ABC system (periplasm),A0T30_03035() AND A0T30_03040() AND A0T30_03045(),,
CPLX_PTRCabcpp-4,Putrescine transport via ABC system (periplasm),A0T30_10810() AND A0T30_03035() AND A0T30_03040() AND A0T30_03045(),,
CPLX_PTRCabcpp-5,Putrescine transport via ABC system (periplasm),A0T30_15945() AND A0T30_15935() AND A0T30_15940() AND A0T30_15925(),,
CPLX_PTRCabcpp-6,Putrescine transport via ABC system (periplasm),A0T30_03145() AND A0T30_03150() AND A0T30_03155() AND A0T30_03160(),,
CPLX_RNDR1-0,Ribonucleoside-diphosphate reductase (ADP),A0T30_08440() AND A0T30_08445() AND A0T30_03195(),,
CPLX_THD2pp-0,NAD(P) transhydrogenase (periplasm),A0T30_02665() AND A0T30_02675() AND A0T30_02670(),,
CPLX_THIORDXi-0,Hydrogen peroxide reductase (thioredoxin),A0T30_16155() AND A0T30_03195(),,
CPLX_THIORDXi-1,Hydrogen peroxide reductase (thioredoxin),A0T30_16155() AND A0T30_19505(),,
CPLX_THIORDXi-2,Hydrogen peroxide reductase (thioredoxin),A0T30_16665() AND A0T30_03195(),,
CPLX_THIORDXi-3,Hydrogen peroxide reductase (thioredoxin),A0T30_16665() AND A0T30_19505(),,
CPLX_THIORDXi-4,Hydrogen peroxide reductase (thioredoxin),A0T30_12585() AND A0T30_03195(),,
CPLX_THIORDXi-5,Hydrogen peroxide reductase (thioredoxin),A0T30_12585() AND A0T30_19505(),,
CPLX_TRDR-0,Thioredoxin reductase (NADPH),A0T30_03195() AND A0T30_07600(),,
CPLX_TRDR-1,Thioredoxin reductase (NADPH),A0T30_13185() AND A0T30_03195(),,
CPLX_TRPS1-0,Tryptophan synthase (indoleglycerol phosphate),A0T30_02195(2) AND A0T30_02200(2),,
