Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
A0T30_19280-MONOMER	Outer_Membrane	A0T30_19280()	Outer_Membrane	sb
CPLX_MINCYCtpp-0	Outer_Membrane	A0T30_19280()	Outer_Membrane	sb
CPLX_RFAMPtpp-0	Outer_Membrane	A0T30_19280()	Outer_Membrane	sb
A0T30_13775-MONOMER	Inner_Membrane	A0T30_13775()	Inner_Membrane	r
A0T30_05850-MONOMER	Inner_Membrane	A0T30_05850()	Inner_Membrane	r
A0T30_07690-MONOMER	Periplasm	A0T30_07690()	Periplasm	s
A0T30_11090-MONOMER	Periplasm	A0T30_11090()	Periplasm	s
A0T30_01150-MONOMER	Inner_Membrane	A0T30_01150()	Inner_Membrane	r
A0T30_14710-MONOMER	Inner_Membrane	A0T30_14710()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	A0T30_14710()	Inner_Membrane	r
A0T30_06930-MONOMER	Inner_Membrane	A0T30_06930()	Periplasm	s
A0T30_14705-MONOMER	Inner_Membrane	A0T30_14705()	Inner_Membrane	r
CPLX_ARGabcpp-0	Inner_Membrane	A0T30_14705()	Inner_Membrane	r
A0T30_02310-MONOMER	Inner_Membrane	A0T30_02310()	Inner_Membrane	p
CPLX_CYTCAA6pp-0	Inner_Membrane	A0T30_02310()	Inner_Membrane	p
A0T30_02320-MONOMER	Inner_Membrane	A0T30_02320()	Inner_Membrane	r
CPLX_CYTCAA6pp-0	Inner_Membrane	A0T30_02320()	Inner_Membrane	r
A0T30_14540-MONOMER	Periplasm	A0T30_14540()	Periplasm	s
A0T30_04260-MONOMER	Inner_Membrane	A0T30_04260()	Inner_Membrane	r
A0T30_02815-MONOMER	Inner_Membrane	A0T30_02815()	Periplasm	s
CPLX_CRO4abcpp-0	Inner_Membrane	A0T30_02815()	Periplasm	s
A0T30_02805-MONOMER	Inner_Membrane	A0T30_02805()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	A0T30_02805()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	A0T30_02805()	Inner_Membrane	r
A0T30_02810-MONOMER	Inner_Membrane	A0T30_02810()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	A0T30_02810()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	A0T30_02810()	Inner_Membrane	r
A0T30_07040-MONOMER	Inner_Membrane	A0T30_07040()	Inner_Membrane	p
A0T30_07045-MONOMER	Inner_Membrane	A0T30_07045()	Inner_Membrane	p
A0T30_07060-MONOMER	Inner_Membrane	A0T30_07060()	Periplasm	s
A0T30_14105-MONOMER	Periplasm	A0T30_14105()	Periplasm	s
A0T30_08570-MONOMER	Periplasm	A0T30_08570()	Periplasm	s
A0T30_07355-MONOMER	Inner_Membrane	A0T30_07355()	Inner_Membrane	r
A0T30_12005-MONOMER	Inner_Membrane	A0T30_12005()	Inner_Membrane	r
A0T30_06560-MONOMER	Inner_Membrane	A0T30_06560()	Inner_Membrane	s
A0T30_18855-MONOMER	Inner_Membrane	A0T30_18855()	Inner_Membrane	r
CPLX_MPTG-0	Inner_Membrane	A0T30_18855()	Inner_Membrane	r
CPLX_MPTG-1	Inner_Membrane	A0T30_18855()	Inner_Membrane	r
CPLX_MPTG-2	Inner_Membrane	A0T30_18855()	Inner_Membrane	r
A0T30_10880-MONOMER	Inner_Membrane	A0T30_10880()	Inner_Membrane	r
A0T30_01100-MONOMER	Outer_Membrane	A0T30_01100()	Inner_Membrane	s
