bnum	position	modification
A0T30_06055	1518	m62A
A0T30_06055	1519	m62A
A0T30_13420	1518	m62A
A0T30_13420	1519	m62A
A0T30_19915	1518	m62A
A0T30_19915	1519	m62A
A0T30_06055	967	m5C
A0T30_13420	967	m5C
A0T30_19915	967	m5C
A0T30_06055	966	m2G
A0T30_13420	966	m2G
A0T30_19915	966	m2G
A0T30_06055	1498	m3U
A0T30_13420	1498	m3U
A0T30_19915	1498	m3U
A0T30_06055	527	m7G
A0T30_13420	527	m7G
A0T30_19915	527	m7G
A0T30_06055	1402	m4Cm
A0T30_13420	1402	m4Cm
A0T30_19915	1402	m4Cm
A0T30_06055	516	Y
A0T30_13420	516	Y
A0T30_19915	516	Y
A0T30_06070	2503	m2A
A0T30_13405	2503	m2A
A0T30_19900	2503	m2A
A0T30_06070	2251	Gm
A0T30_13405	2251	Gm
A0T30_19900	2251	Gm
A0T30_06070	1939	m5U
A0T30_13405	1939	m5U
A0T30_19900	1939	m5U
A0T30_06070	2498	Cm
A0T30_13405	2498	Cm
A0T30_19900	2498	Cm
A0T30_06070	745	m1G
A0T30_13405	745	m1G
A0T30_19900	745	m1G
A0T30_06070	1835	m2G
A0T30_13405	1835	m2G
A0T30_19900	1835	m2G
A0T30_06070	1962	m5C
A0T30_13405	1962	m5C
A0T30_19900	1962	m5C
A0T30_06070	1618	m6A
A0T30_13405	1618	m6A
A0T30_19900	1618	m6A
A0T30_06070	2069	m7G
A0T30_13405	2069	m7G
A0T30_19900	2069	m7G
A0T30_06070	2552	Um
A0T30_13405	2552	Um
A0T30_19900	2552	Um
A0T30_06070	1911	Y
A0T30_06070	1915	Y
A0T30_06070	1917	Y
A0T30_13405	1911	Y
A0T30_13405	1915	Y
A0T30_13405	1917	Y
A0T30_19900	1911	Y
A0T30_19900	1915	Y
A0T30_19900	1917	Y
