bnum	position	modification
FA030_21670	1518	m62A
FA030_21670	1519	m62A
FA030_24620	1518	m62A
FA030_24620	1519	m62A
FA030_28320	1518	m62A
FA030_28320	1519	m62A
FA030_32835	1518	m62A
FA030_32835	1519	m62A
FA030_21670	967	m5C
FA030_24620	967	m5C
FA030_28320	967	m5C
FA030_32835	967	m5C
FA030_21670	966	m2G
FA030_24620	966	m2G
FA030_28320	966	m2G
FA030_32835	966	m2G
FA030_21670	1498	m3U
FA030_24620	1498	m3U
FA030_28320	1498	m3U
FA030_32835	1498	m3U
FA030_21670	527	m7G
FA030_24620	527	m7G
FA030_28320	527	m7G
FA030_32835	527	m7G
FA030_21670	1402	m4Cm
FA030_24620	1402	m4Cm
FA030_28320	1402	m4Cm
FA030_32835	1402	m4Cm
FA030_21670	516	Y
FA030_24620	516	Y
FA030_28320	516	Y
FA030_32835	516	Y
FA030_21655	2503	m2A
FA030_24605	2503	m2A
FA030_28305	2503	m2A
FA030_32850	2503	m2A
FA030_21655	2251	Gm
FA030_24605	2251	Gm
FA030_28305	2251	Gm
FA030_32850	2251	Gm
FA030_21655	1939	m5U
FA030_24605	1939	m5U
FA030_28305	1939	m5U
FA030_32850	1939	m5U
FA030_21655	2498	Cm
FA030_24605	2498	Cm
FA030_28305	2498	Cm
FA030_32850	2498	Cm
FA030_21655	745	m1G
FA030_24605	745	m1G
FA030_28305	745	m1G
FA030_32850	745	m1G
FA030_21655	1835	m2G
FA030_24605	1835	m2G
FA030_28305	1835	m2G
FA030_32850	1835	m2G
FA030_21655	1962	m5C
FA030_24605	1962	m5C
FA030_28305	1962	m5C
FA030_32850	1962	m5C
FA030_21655	1618	m6A
FA030_24605	1618	m6A
FA030_28305	1618	m6A
FA030_32850	1618	m6A
FA030_21655	2069	m7G
FA030_24605	2069	m7G
FA030_28305	2069	m7G
FA030_32850	2069	m7G
FA030_21655	2552	Um
FA030_24605	2552	Um
FA030_28305	2552	Um
FA030_32850	2552	Um
FA030_21655	1911	Y
FA030_21655	1915	Y
FA030_21655	1917	Y
FA030_24605	1911	Y
FA030_24605	1915	Y
FA030_24605	1917	Y
FA030_28305	1911	Y
FA030_28305	1915	Y
FA030_28305	1917	Y
FA030_32850	1911	Y
FA030_32850	1915	Y
FA030_32850	1917	Y
