amino_acid	enzyme
ala__L_c	FA030_20415-MONOMER
arg__L_c	FA030_26580-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	FA030_20075-MONOMER
cys__L_c	FA030_15735-MONOMER
gln__L_c	FA030_15740-MONOMER
glu__L_c	FA030_06485-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	FA030_02800-MONOMER
ile__L_c	FA030_23795-MONOMER
leu__L_c	FA030_01800-MONOMER
lys__L_c	FA030_03335-MONOMER
met__L_c	FA030_04660-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	generic_pro_ligase
ser__L_c	FA030_09585-MONOMER
thr__L_c	FA030_08890-MONOMER
trp__L_c	FA030_22500-MONOMER
tyr__L_c	generic_tyr_ligase
val__L_c	FA030_02635-MONOMER
