Reaction	Complexes
2AGPE140tipp	C3F42_24705-MONOMER
2AGPE141tipp	C3F42_24705-MONOMER
2AGPG140tipp	C3F42_24705-MONOMER
2AGPG141tipp	C3F42_24705-MONOMER
2DHGLCK	C3F42_00245-MONOMER
2DHGLCNkt_tpp	C3F42_00250-MONOMER
2HH24DDH1	C3F42_02085-MONOMER
2MAHMP	C3F42_05395-MONOMER
3AMACHYD	C3F42_27455-MONOMER
3HAACOAT100	C3F42_10715-MONOMER
3HAACOAT120	C3F42_10715-MONOMER
3HAACOAT121	C3F42_10715-MONOMER
3HAACOAT140	C3F42_10715-MONOMER
3HAACOAT141	C3F42_10715-MONOMER
3HAACOAT60	C3F42_10715-MONOMER
3HAACOAT80	C3F42_10715-MONOMER
3HAD100	C3F42_23570-MONOMER
3HAD120	C3F42_23570-MONOMER
3HAD121	C3F42_23570-MONOMER
3HAD140	C3F42_23570-MONOMER
3HAD141	C3F42_23570-MONOMER
3HAD160	C3F42_23570-MONOMER
3HAD161	C3F42_23570-MONOMER
3HAD180	C3F42_23570-MONOMER
3HAD181	C3F42_23570-MONOMER
3HAD40	C3F42_23570-MONOMER
3HAD60	C3F42_23570-MONOMER
3HAD80	C3F42_23570-MONOMER
3HOXPACt2pp	C3F42_03020-MONOMER
3OADPCOAT	CPLX_BUTCT-0
3OAR100	C3F42_07455-MONOMER
3OAR120	C3F42_07455-MONOMER
3OAR121	C3F42_07455-MONOMER
3OAR140	C3F42_07455-MONOMER
3OAR141	C3F42_07455-MONOMER
3OAR160	C3F42_07455-MONOMER
3OAR161	C3F42_07455-MONOMER
3OAR180	C3F42_07455-MONOMER
3OAR181	C3F42_07455-MONOMER
3OAR40	C3F42_07455-MONOMER
3OAR60	C3F42_07455-MONOMER
3OAR80	C3F42_07455-MONOMER
3OAS100	C3F42_07445-MONOMER OR C3F42_26280-MONOMER
3OAS120	C3F42_07445-MONOMER OR C3F42_26280-MONOMER
3OAS121	C3F42_26280-MONOMER
3OAS140	C3F42_07445-MONOMER OR C3F42_26280-MONOMER
3OAS141	C3F42_26280-MONOMER
3OAS160	C3F42_07445-MONOMER OR C3F42_26280-MONOMER
3OAS161	C3F42_26280-MONOMER
3OAS180	C3F42_26280-MONOMER
3OAS181	C3F42_26280-MONOMER
3OAS60	C3F42_07445-MONOMER OR C3F42_26280-MONOMER
3OAS80	C3F42_07445-MONOMER OR C3F42_26280-MONOMER
3OXCOAT	C3F42_11340-MONOMER
3OXOADPt_pp	C3F42_11335-MONOMER
3PEPTabcpp	C3F42_26560-MONOMER OR C3F42_26555-MONOMER OR C3F42_26550-MONOMER OR C3F42_26545-MONOMER
3_4DHBZ1t_pp	C3F42_11355-MONOMER
3_4DHBZt2	C3F42_11315-MONOMER
4CMLCL_kt	C3F42_11320-MONOMER OR C3F42_11800-MONOMER
4HBHYOX	C3F42_00460-MONOMER
4HBZtex	C3F42_11300-MONOMER
4HTHRS	C3F42_23380-MONOMER_mod_pydx5p(1)
4PEPTabcpp	C3F42_26560-MONOMER OR C3F42_26555-MONOMER OR C3F42_26550-MONOMER OR C3F42_26545-MONOMER
5HPUDICDC_c	C3F42_07150-MONOMER
A5PISO	C3F42_11645-MONOMER
