amino_acid	enzyme
ala__L_c	C3F42_25200-MONOMER
arg__L_c	C3F42_19625-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	C3F42_09840-MONOMER
cys__L_c	C3F42_03370-MONOMER
gln__L_c	C3F42_03375-MONOMER
glu__L_c	C3F42_25710-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	C3F42_22595-MONOMER
ile__L_c	C3F42_21775-MONOMER
leu__L_c	C3F42_14020-MONOMER
lys__L_c	C3F42_23740-MONOMER
met__L_c	C3F42_23985-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	C3F42_09885-MONOMER
ser__L_c	C3F42_05325-MONOMER
thr__L_c	C3F42_04865-MONOMER
trp__L_c	C3F42_12090-MONOMER
tyr__L_c	C3F42_14840-MONOMER
val__L_c	C3F42_22840-MONOMER
