complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,PproGo58_00140(2) AND PproGo58_00150(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,PproGo58_20220(2) AND PproGo58_20210(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,PproGo58_06650(2) AND PproGo58_19840(2) AND PproGo58_11670(2) AND PproGo58_06640(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),PproGo58_55770() AND PproGo58_10510() AND PproGo58_08900() AND PproGo58_10520(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,PproGo58_49630(2) AND PproGo58_49640(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,PproGo58_17610() AND PproGo58_17070(),,
CPLX_ACONCtupp-0,Cisaconitate transport periplasm,PproGo58_14190() AND PproGo58_14170() AND PproGo58_14180(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),PproGo58_17610() AND PproGo58_17580(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,PproGo58_09150(4) AND PproGo58_09140(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,PproGo58_58180() AND PproGo58_58190(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),PproGo58_52530() AND PproGo58_06320(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),PproGo58_08560() AND PproGo58_08550() AND PproGo58_08540() AND PproGo58_08530() AND PproGo58_08520(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),PproGo58_08520(1) AND PproGo58_08530(1) AND PproGo58_08540(1) AND PproGo58_08550(1) AND PproGo58_08590(1),,
CPLX_ANS-0,Anthranilate synthase,PproGo58_53150() AND PproGo58_53140(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,PproGo58_18120() AND PproGo58_56620(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),PproGo58_43630() AND PproGo58_43650() AND PproGo58_43660() AND PproGo58_21440(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),PproGo58_46160() AND PproGo58_46170() AND PproGo58_46180() AND PproGo58_46190(),,
CPLX_AST-0,Arginine succinyltransferase,PproGo58_43590() AND PproGo58_43600(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,PproGo58_09070() AND PproGo58_05680(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),PproGo58_59230() AND PproGo58_59270() AND PproGo58_59200() AND PproGo58_59210() AND PproGo58_59260() AND PproGo58_59250() AND PproGo58_59220() AND PproGo58_59240() AND PproGo58_59280(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,PproGo58_22170(2) AND PproGo58_22180(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),PproGo58_56120(2) AND PproGo58_56110(2) AND PproGo58_56140(),,
CPLX_BZ12DOX-0,"Benzoate 1,2-dioxygenase",PproGo58_37400() AND PproGo58_37390() AND PproGo58_37380(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),PproGo58_54450() AND PproGo58_54440() AND PproGo58_54430(),,
CPLX_CHOLSabc-0,Choline sulfate ABC transporter,PproGo58_00290() AND PproGo58_00300(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,PproGo58_13240() AND PproGo58_13230() AND PproGo58_13220(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,PproGo58_09000() AND PproGo58_09010() AND PproGo58_09020(),,
