bnum	position	modification
IH404_01445	1518	m62A
IH404_01445	1519	m62A
IH404_04225	1518	m62A
IH404_04225	1519	m62A
IH404_10770	1518	m62A
IH404_10770	1519	m62A
IH404_21560	1518	m62A
IH404_21560	1519	m62A
IH404_23890	1518	m62A
IH404_23890	1519	m62A
IH404_25660	1518	m62A
IH404_25660	1519	m62A
IH404_01445	967	m5C
IH404_04225	967	m5C
IH404_10770	967	m5C
IH404_21560	967	m5C
IH404_23890	967	m5C
IH404_25660	967	m5C
IH404_01445	966	m2G
IH404_04225	966	m2G
IH404_10770	966	m2G
IH404_21560	966	m2G
IH404_23890	966	m2G
IH404_25660	966	m2G
IH404_01445	1498	m3U
IH404_04225	1498	m3U
IH404_10770	1498	m3U
IH404_21560	1498	m3U
IH404_23890	1498	m3U
IH404_25660	1498	m3U
IH404_01445	527	m7G
IH404_04225	527	m7G
IH404_10770	527	m7G
IH404_21560	527	m7G
IH404_23890	527	m7G
IH404_25660	527	m7G
IH404_01445	1402	m4Cm
IH404_04225	1402	m4Cm
IH404_10770	1402	m4Cm
IH404_21560	1402	m4Cm
IH404_23890	1402	m4Cm
IH404_25660	1402	m4Cm
IH404_01445	516	Y
IH404_04225	516	Y
IH404_10770	516	Y
IH404_21560	516	Y
IH404_23890	516	Y
IH404_25660	516	Y
IH404_01460	2503	m2A
IH404_04240	2503	m2A
IH404_10785	2503	m2A
IH404_21545	2503	m2A
IH404_23875	2503	m2A
IH404_25645	2503	m2A
IH404_01460	2251	Gm
IH404_04240	2251	Gm
IH404_10785	2251	Gm
IH404_21545	2251	Gm
IH404_23875	2251	Gm
IH404_25645	2251	Gm
IH404_01460	1939	m5U
IH404_04240	1939	m5U
IH404_10785	1939	m5U
IH404_21545	1939	m5U
IH404_23875	1939	m5U
IH404_25645	1939	m5U
IH404_01460	2498	Cm
IH404_04240	2498	Cm
IH404_10785	2498	Cm
IH404_21545	2498	Cm
IH404_23875	2498	Cm
IH404_25645	2498	Cm
IH404_01460	745	m1G
IH404_04240	745	m1G
IH404_10785	745	m1G
IH404_21545	745	m1G
IH404_23875	745	m1G
IH404_25645	745	m1G
IH404_01460	1835	m2G
IH404_04240	1835	m2G
IH404_10785	1835	m2G
IH404_21545	1835	m2G
IH404_23875	1835	m2G
IH404_25645	1835	m2G
IH404_01460	1962	m5C
IH404_04240	1962	m5C
IH404_10785	1962	m5C
IH404_21545	1962	m5C
IH404_23875	1962	m5C
IH404_25645	1962	m5C
IH404_01460	1618	m6A
IH404_04240	1618	m6A
IH404_10785	1618	m6A
IH404_21545	1618	m6A
IH404_23875	1618	m6A
IH404_25645	1618	m6A
IH404_01460	2069	m7G
IH404_04240	2069	m7G
IH404_10785	2069	m7G
IH404_21545	2069	m7G
IH404_23875	2069	m7G
IH404_25645	2069	m7G
IH404_01460	2552	Um
IH404_04240	2552	Um
IH404_10785	2552	Um
IH404_21545	2552	Um
IH404_23875	2552	Um
IH404_25645	2552	Um
IH404_01460	1911	Y
IH404_01460	1915	Y
IH404_01460	1917	Y
IH404_04240	1911	Y
IH404_04240	1915	Y
IH404_04240	1917	Y
IH404_10785	1911	Y
IH404_10785	1915	Y
IH404_10785	1917	Y
IH404_21545	1911	Y
IH404_21545	1915	Y
IH404_21545	1917	Y
IH404_23875	1911	Y
IH404_23875	1915	Y
IH404_23875	1917	Y
IH404_25645	1911	Y
IH404_25645	1915	Y
IH404_25645	1917	Y
