amino_acid	enzyme
ala__L_c	FIU24_09170-MONOMER
arg__L_c	FIU24_03005-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	FIU24_09510-MONOMER
cys__L_c	FIU24_13855-MONOMER
gln__L_c	FIU24_13850-MONOMER
glu__L_c	FIU24_23110-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	FIU24_26795-MONOMER
ile__L_c	FIU24_05790-MONOMER
leu__L_c	FIU24_27795-MONOMER
lys__L_c	FIU24_26260-MONOMER
met__L_c	FIU24_24935-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	generic_pro_ligase
ser__L_c	FIU24_20010-MONOMER
thr__L_c	FIU24_20705-MONOMER
trp__L_c	FIU24_07085-MONOMER
tyr__L_c	generic_tyr_ligase
val__L_c	FIU24_26960-MONOMER
