bnum	position	modification
FIU24_01265	1518	m62A
FIU24_01265	1519	m62A
FIU24_04965	1518	m62A
FIU24_04965	1519	m62A
FIU24_07915	1518	m62A
FIU24_07915	1519	m62A
FIU24_29660	1518	m62A
FIU24_29660	1519	m62A
FIU24_01265	967	m5C
FIU24_04965	967	m5C
FIU24_07915	967	m5C
FIU24_29660	967	m5C
FIU24_01265	966	m2G
FIU24_04965	966	m2G
FIU24_07915	966	m2G
FIU24_29660	966	m2G
FIU24_01265	1498	m3U
FIU24_04965	1498	m3U
FIU24_07915	1498	m3U
FIU24_29660	1498	m3U
FIU24_01265	527	m7G
FIU24_04965	527	m7G
FIU24_07915	527	m7G
FIU24_29660	527	m7G
FIU24_01265	1402	m4Cm
FIU24_04965	1402	m4Cm
FIU24_07915	1402	m4Cm
FIU24_29660	1402	m4Cm
FIU24_01265	516	Y
FIU24_04965	516	Y
FIU24_07915	516	Y
FIU24_29660	516	Y
FIU24_01280	2503	m2A
FIU24_04980	2503	m2A
FIU24_07930	2503	m2A
FIU24_29645	2503	m2A
FIU24_01280	2251	Gm
FIU24_04980	2251	Gm
FIU24_07930	2251	Gm
FIU24_29645	2251	Gm
FIU24_01280	1939	m5U
FIU24_04980	1939	m5U
FIU24_07930	1939	m5U
FIU24_29645	1939	m5U
FIU24_01280	2498	Cm
FIU24_04980	2498	Cm
FIU24_07930	2498	Cm
FIU24_29645	2498	Cm
FIU24_01280	745	m1G
FIU24_04980	745	m1G
FIU24_07930	745	m1G
FIU24_29645	745	m1G
FIU24_01280	1835	m2G
FIU24_04980	1835	m2G
FIU24_07930	1835	m2G
FIU24_29645	1835	m2G
FIU24_01280	1962	m5C
FIU24_04980	1962	m5C
FIU24_07930	1962	m5C
FIU24_29645	1962	m5C
FIU24_01280	1618	m6A
FIU24_04980	1618	m6A
FIU24_07930	1618	m6A
FIU24_29645	1618	m6A
FIU24_01280	2069	m7G
FIU24_04980	2069	m7G
FIU24_07930	2069	m7G
FIU24_29645	2069	m7G
FIU24_01280	2552	Um
FIU24_04980	2552	Um
FIU24_07930	2552	Um
FIU24_29645	2552	Um
FIU24_01280	1911	Y
FIU24_01280	1915	Y
FIU24_01280	1917	Y
FIU24_04980	1911	Y
FIU24_04980	1915	Y
FIU24_04980	1917	Y
FIU24_07930	1911	Y
FIU24_07930	1915	Y
FIU24_07930	1917	Y
FIU24_29645	1911	Y
FIU24_29645	1915	Y
FIU24_29645	1917	Y
