sigma,complex,genes,name
FIU24_03820-MONOMER,RNAP_FIU2403820MONOMER,FIU24_03820(),sigma-70 family RNA polymerase sigma factor
FIU24_06970-MONOMER,RNAP_FIU2406970MONOMER,FIU24_06970(),RNA polymerase factor sigma-54
FIU24_07970-MONOMER,RNAP_FIU2407970MONOMER,FIU24_07970(),RNA polymerase sigma factor
FIU24_08430-MONOMER,RNAP_FIU2408430MONOMER,FIU24_08430(),RNA polymerase sigma-H factor
FIU24_08435-MONOMER,RNAP_FIU2408435MONOMER,FIU24_08435(),RNA polymerase subunit sigma
FIU24_11340-MONOMER,RNAP_FIU2411340MONOMER,FIU24_11340(),RNA polymerase sigma factor
FIU24_11610-MONOMER,RNAP_FIU2411610MONOMER,FIU24_11610(),RNA polymerase sigma factor
FIU24_11670-MONOMER,RNAP_FIU2411670MONOMER,FIU24_11670(),RNA polymerase sigma factor
FIU24_12070-MONOMER,RNAP_FIU2412070MONOMER,FIU24_12070(),RNA polymerase sigma factor FliA
FIU24_13755-MONOMER,RNAP_FIU2413755MONOMER,FIU24_13755(),RNA polymerase sigma factor SigX
FIU24_14500-MONOMER,RNAP_FIU2414500MONOMER,FIU24_14500(),sigma-70 family RNA polymerase sigma factor
FIU24_15670-MONOMER,RNAP_FIU2415670MONOMER,FIU24_15670(),sigma-70 family RNA polymerase sigma factor
FIU24_15915-MONOMER,RNAP_FIU2415915MONOMER,FIU24_15915(),sigma-70 family RNA polymerase sigma factor
FIU24_17820-MONOMER,RNAP_FIU2417820MONOMER,FIU24_17820(),sigma-70 family RNA polymerase sigma factor
FIU24_18050-MONOMER,RNAP_FIU2418050MONOMER,FIU24_18050(),RNA polymerase factor sigma-70
FIU24_18310-MONOMER,RNAP_FIU2418310MONOMER,FIU24_18310(),sigma-70 family RNA polymerase sigma factor
FIU24_21165-MONOMER,RNAP_FIU2421165MONOMER,FIU24_21165(),sigma-70 family RNA polymerase sigma factor
FIU24_21610-MONOMER,RNAP_FIU2421610MONOMER,FIU24_21610(),ECF family RNA polymerase sigma factor SbrI
FIU24_23900-MONOMER,RNAP_FIU2423900MONOMER,FIU24_23900(),RNA polymerase sigma factor
FIU24_24555-MONOMER,RNAP_FIU2424555MONOMER,FIU24_24555(),RNA polymerase sigma factor
FIU24_25565-MONOMER,RNAP_FIU2425565MONOMER,FIU24_25565(),RNA polymerase sigma factor RpoS
FIU24_27335-MONOMER,RNAP_FIU2427335MONOMER,FIU24_27335(),sigma-70 family RNA polymerase sigma factor
FIU24_30060-MONOMER,RNAP_FIU2430060MONOMER,FIU24_30060(),RNA polymerase sigma factor RpoD
FIU24_30645-MONOMER,RNAP_FIU2430645MONOMER,FIU24_30645(),RNA polymerase sigma factor
FIU24_31155-MONOMER,RNAP_FIU2431155MONOMER,FIU24_31155(),RNA polymerase sigma factor RpoH
FIU24_32325-MONOMER,RNAP_FIU2432325MONOMER,FIU24_32325(),RNA polymerase sigma factor
