amino_acid	enzyme
ala__L_c	FIU84_06640-MONOMER
arg__L_c	FIU84_02685-MONOMER
asn__L_c	CPLX_dummy
asp__L_c	FIU84_14370-MONOMER
cys__L_c	FIU84_10055-MONOMER
gln__L_c	FIU84_10050-MONOMER
glu__L_c	FIU84_15440-MONOMER
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	FIU84_15595-MONOMER
ile__L_c	FIU84_04510-MONOMER
leu__L_c	FIU84_18905-MONOMER
lys__L_c	FIU84_14055-MONOMER
met__L_c	FIU84_06130-MONOMER
phe__L_c	CPLX-tRNA-PHE-LIGASE
pro__L_c	FIU84_14440-MONOMER
ser__L_c	FIU84_11685-MONOMER
thr__L_c	FIU84_12015-MONOMER
trp__L_c	generic_trp_ligase
tyr__L_c	FIU84_03470-MONOMER
val__L_c	FIU84_15750-MONOMER
