bnum	position	modification
Pput_R0001	1518	m62A
Pput_R0001	1519	m62A
Pput_R0009	1518	m62A
Pput_R0009	1519	m62A
Pput_R0018	1518	m62A
Pput_R0018	1519	m62A
Pput_R0031	1518	m62A
Pput_R0031	1519	m62A
Pput_R0064	1518	m62A
Pput_R0064	1519	m62A
Pput_R0093	1518	m62A
Pput_R0093	1519	m62A
Pput_R0001	967	m5C
Pput_R0009	967	m5C
Pput_R0018	967	m5C
Pput_R0031	967	m5C
Pput_R0064	967	m5C
Pput_R0093	967	m5C
Pput_R0001	966	m2G
Pput_R0009	966	m2G
Pput_R0018	966	m2G
Pput_R0031	966	m2G
Pput_R0064	966	m2G
Pput_R0093	966	m2G
Pput_R0001	1498	m3U
Pput_R0009	1498	m3U
Pput_R0018	1498	m3U
Pput_R0031	1498	m3U
Pput_R0064	1498	m3U
Pput_R0093	1498	m3U
Pput_R0001	527	m7G
Pput_R0009	527	m7G
Pput_R0018	527	m7G
Pput_R0031	527	m7G
Pput_R0064	527	m7G
Pput_R0093	527	m7G
Pput_R0001	1402	m4Cm
Pput_R0009	1402	m4Cm
Pput_R0018	1402	m4Cm
Pput_R0031	1402	m4Cm
Pput_R0064	1402	m4Cm
Pput_R0093	1402	m4Cm
Pput_R0001	516	Y
Pput_R0009	516	Y
Pput_R0018	516	Y
Pput_R0031	516	Y
Pput_R0064	516	Y
Pput_R0093	516	Y
Pput_R0002	2503	m2A
Pput_R0012	2503	m2A
Pput_R0019	2503	m2A
Pput_R0034	2503	m2A
Pput_R0061	2503	m2A
Pput_R0090	2503	m2A
Pput_R0002	2251	Gm
Pput_R0012	2251	Gm
Pput_R0019	2251	Gm
Pput_R0034	2251	Gm
Pput_R0061	2251	Gm
Pput_R0090	2251	Gm
Pput_R0002	1939	m5U
Pput_R0012	1939	m5U
Pput_R0019	1939	m5U
Pput_R0034	1939	m5U
Pput_R0061	1939	m5U
Pput_R0090	1939	m5U
Pput_R0002	2498	Cm
Pput_R0012	2498	Cm
Pput_R0019	2498	Cm
Pput_R0034	2498	Cm
Pput_R0061	2498	Cm
Pput_R0090	2498	Cm
Pput_R0002	745	m1G
Pput_R0012	745	m1G
Pput_R0019	745	m1G
Pput_R0034	745	m1G
Pput_R0061	745	m1G
Pput_R0090	745	m1G
Pput_R0002	1835	m2G
Pput_R0012	1835	m2G
Pput_R0019	1835	m2G
Pput_R0034	1835	m2G
Pput_R0061	1835	m2G
Pput_R0090	1835	m2G
Pput_R0002	1962	m5C
Pput_R0012	1962	m5C
Pput_R0019	1962	m5C
Pput_R0034	1962	m5C
Pput_R0061	1962	m5C
Pput_R0090	1962	m5C
Pput_R0002	1618	m6A
Pput_R0012	1618	m6A
Pput_R0019	1618	m6A
Pput_R0034	1618	m6A
Pput_R0061	1618	m6A
Pput_R0090	1618	m6A
Pput_R0002	2069	m7G
Pput_R0012	2069	m7G
Pput_R0019	2069	m7G
Pput_R0034	2069	m7G
Pput_R0061	2069	m7G
Pput_R0090	2069	m7G
Pput_R0002	2552	Um
Pput_R0012	2552	Um
Pput_R0019	2552	Um
Pput_R0034	2552	Um
Pput_R0061	2552	Um
Pput_R0090	2552	Um
Pput_R0002	1911	Y
Pput_R0002	1915	Y
Pput_R0002	1917	Y
Pput_R0012	1911	Y
Pput_R0012	1915	Y
Pput_R0012	1917	Y
Pput_R0019	1911	Y
Pput_R0019	1915	Y
Pput_R0019	1917	Y
Pput_R0034	1911	Y
Pput_R0034	1915	Y
Pput_R0034	1917	Y
Pput_R0061	1911	Y
Pput_R0061	1915	Y
Pput_R0061	1917	Y
Pput_R0090	1911	Y
Pput_R0090	1915	Y
Pput_R0090	1917	Y
